,Address,Bedrooms,Bathrooms,Sqm,Cost
0,"Urdaneta, Pangasinan",3,2,115,5580000.0
1,"San Fernando, Pampanga",3,2,150,8300000.000000001
2,"Cebu City, Cebu",3,5,238,14000000.0
3,"Antipolo, Rizal",5,8,525,35000000.0
4,"Tagaytay, Cavite",7,6,1200,54000000.0
5,"Antipolo, Rizal",3,3,218,16000000.0
6,"Parañaque, Metro Manila",4,4,350,42000000.0
7,"Dasmariñas, Cavite",2,1,54,2500000.0
8,"Quezon City / QC, Metro Manila",3,3,180,9500000.0
9,"Quezon City / QC, Metro Manila",4,4,255,32000000.0
10,"Nuvali, Calamba, Laguna",4,4,325,25000000.0
11,"Quezon City / QC, Metro Manila",5,2,220,5500000.0
12,"Alabang, Muntinlupa, Metro Manila",6,6,581,85000000.0
13,"Parañaque, Metro Manila",5,4,450,41500000.0
14,"Parañaque, Metro Manila",6,6,800,150000000.0
15,"Antipolo, Rizal",8,10,1500,120000000.0
16,"Pasig, Metro Manila",5,5,580,38000000.0
17,"Cainta, Rizal",4,5,280,28000000.0
18,"Mandaluyong, Metro Manila",3,2,96,8000000.0
19,"Bacoor, Cavite",5,5,334,42000000.0
20,"Quezon City / QC, Metro Manila",7,7,900,208000000.0
21,"Antipolo, Rizal",2,2,150,9000000.0
22,"Silang, Cavite",2,1,150,3000000.0
23,"Parañaque, Metro Manila",4,4,296,24000000.0
24,"Nuvali, Calamba, Laguna",4,4,325,25000000.0
25,"Boracay, Malay, Aklan",2,2,120,12000000.0
26,"Bacoor, Cavite",4,5,220,19500000.0
27,"Quezon City / QC, Metro Manila",5,5,443,41700000.0
28,"Nasugbu, Batangas",5,4,326,17000000.0
29,"Santa Rosa, Laguna",3,2,204,16000000.0
30,"Dasmariñas, Cavite",3,3,210,9250000.0
31,"Quezon City / QC, Metro Manila",7,7,900,208000000.0
32,"Quezon City / QC, Metro Manila",4,4,255,19900000.0
33,"Boracay, Malay, Aklan",6,4,137,15500000.0
34,"Dasmariñas, Cavite",3,3,218,9850000.0
35,"San Pedro, Laguna",4,2,650,30000000.0
36,"Cubao, Quezon City / QC, Metro Manila",4,3,120,12800000.0
37,"Quezon City / QC, Metro Manila",4,4,350,45000000.0
38,"Antipolo, Rizal",4,4,240,18000000.0
39,"Urdaneta, Pangasinan",0,2,56,2460000.0
40,"Baliuag, Bulacan",9,13,2000,140000000.0
41,"Cainta, Rizal",5,5,500,38000000.0
42,"Pasig, Metro Manila",5,5,360,25000000.0
43,"Pasig, Metro Manila",6,6,550,29800000.0
44,"Makati, Metro Manila",3,3,800,200000000.0
45,"Antipolo, Rizal",4,4,150,18000000.0
46,"Carmona, Cavite",3,2,72,5300000.0
47,"Manila, Metro Manila",5,4,330,48000000.0
48,"Cainta, Rizal",3,3,160,9800000.0
49,"Las Piñas, Metro Manila",6,6,527,65000000.0
50,"Las Piñas, Metro Manila",3,3,152,8000000.0
51,"Parañaque, Metro Manila",5,4,395,42800000.0
52,"Cebu City, Cebu",6,3,450,35000000.0
53,"Pasig, Metro Manila",6,6,380,21800000.0
54,"Parañaque, Metro Manila",4,5,300,35000000.0
55,"Taytay, Rizal",8,5,1500,120000000.0
56,"Antipolo, Rizal",4,3,360,16000000.0
57,"Tagaytay, Cavite",4,4,1222,20000000.0
58,"Tagaytay, Cavite",3,2,121,6900000.0
59,"Biñan, Laguna",3,3,104,9500000.0
60,"Tandang Sora, Quezon City / QC, Metro Manila",3,3,161,13000000.0
61,"Cainta, Rizal",3,2,82,3500000.0
62,"Las Piñas, Metro Manila",6,7,241,28000000.0
63,"Mabalacat, Pampanga",2,1,40,1450000.0
64,"Marilao, Bulacan",7,5,102,7000000.0
65,"Dauis, Bohol",0,1,50,1600000.0
66,"Tarlac City, Tarlac",2,1,44,1400000.0
67,"Santa Maria, Bulacan",2,2,80,3100000.0
68,"Baclayon, Bohol",4,2,90,3870000.0
69,"Cabuyao, Laguna",0,1,26,1800000.0
70,"Novaliches, Quezon City / QC, Metro Manila",3,2,104,5480000.0
71,"Caloocan, Metro Manila",3,2,65,4200000.0
72,"Panabo, Davao del Norte",2,1,42,2020000.0
73,"Bacoor, Cavite",3,3,234,8199999.999999999
74,"Baliuag, Bulacan",2,1,40,3180000.0
75,"Cebu City, Cebu",5,6,350,25000000.0
76,"Biñan, Laguna",2,2,71,3800000.0
77,"Tanza, Cavite",3,2,55,3080000.0
78,"Tanza, Cavite",3,2,40,1840000.0
80,"Magalang, Pampanga",2,1,40,1750000.0
81,"Dumaguete, Negros Oriental",2,1,36,2700000.0
82,"Puerto Princesa, Palawan",2,1,36,2800000.0
83,"Malolos, Bulacan",2,2,60,3170000.0
84,"Santa Maria, Bulacan",2,1,40,2290000.0
85,"Imus, Cavite",3,2,94,4980000.0
86,"Imus, Cavite",3,2,63,4580000.0
87,"Santo Tomas, Batangas",2,1,36,2540000.0
88,"Novaliches, Quezon City / QC, Metro Manila",3,3,199,11000000.0
89,"Bacong, Negros Oriental",0,1,22,600000.0
90,"Concepcion, Tarlac",2,1,28,1800000.0
91,"Lapu-Lapu (Opon), Cebu",2,2,73,2280000.0
92,"Santo Tomas, Batangas",2,2,40,3460000.0
93,"Oton, Iloilo",2,1,40,3170000.0
94,"Silang, Cavite",2,2,53,6040000.0
95,"Butuan, Agusan del Norte",2,1,48,2240000.0
96,"General Trias, Cavite",3,2,60,2600000.0
97,"Capas, Tarlac",2,1,31,640000.0
98,"Mabalacat, Pampanga",2,1,50,2220000.0
99,"Bacoor, Cavite",3,3,211,26000000.0
100,"Valenzuela, Metro Manila",4,4,158,7100000.0
101,"Talisay, Cebu",4,2,110,6410000.0
102,"Quezon City / QC, Metro Manila",3,3,120,10300000.0
103,"Tarlac City, Tarlac",2,1,33,663930.0
104,"San Juan, Metro Manila",4,4,143,13200000.0
105,"Bacolod, Negros Occidental",2,1,46,3510000.0
106,"Imus, Cavite",5,5,258,12600000.0
107,"Lipa, Batangas",2,1,40,2220000.0
108,"Lapu-Lapu (Opon), Cebu",2,2,56,1900000.0
109,"Angeles, Pampanga",3,2,86,3430000.0
110,"Teresa, Rizal",2,1,43,4290000.0
111,"Santo Tomas, Batangas",2,1,50,1650000.0
112,"Dumaguete, Negros Oriental",2,1,36,2700000.0
113,"Calamba, Laguna",0,1,42,1580000.0
114,"Cebu City, Cebu",3,2,100,6500000.0
115,"Bacolod, Negros Occidental",3,2,66,5960000.0
116,"Imus, Cavite",3,2,75,4580000.0
117,"Trece Martires, Cavite",3,2,73,2029999.9999999998
118,"Santa Rosa, Laguna",2,1,56,3450000.0
119,"Cabanatuan, Nueva Ecija",2,1,50,1890000.0
120,"General Trias, Cavite",3,2,60,2810000.0
121,"Bacolod, Negros Occidental",3,2,66,5960000.0
122,"Cabanatuan, Nueva Ecija",2,1,50,2760000.0
123,"Santa Maria, Bulacan",3,2,60,4530000.0
124,"Santo Tomas, Batangas",2,1,40,3240000.0
125,"Cabuyao, Laguna",0,1,26,1610000.0
126,"Cabanatuan, Nueva Ecija",2,2,50,1890000.0
127,"Santa Rosa, Laguna",2,1,56,3450000.0
128,"Cabanatuan, Nueva Ecija",2,1,50,1890000.0
129,"Caloocan, Metro Manila",3,1,140,7500000.0
130,"General Santos (Dadiangas), South Cotabato",4,3,85,5780000.0
131,"Oton, Iloilo",2,1,36,2610000.0
132,"Bacolod, Negros Occidental",2,1,36,2460000.0
133,"Calamba, Laguna",9,9,460,42000000.0
134,"Angeles, Pampanga",4,2,85,5500000.0
135,"Las Piñas, Metro Manila",4,3,190,11000000.0
136,"Floridablanca, Pampanga",3,3,150,5290000.0
137,"Bacolod, Negros Occidental",2,1,40,2840000.0
138,"Batangas City, Batangas",3,2,75,4930000.0
139,"Imus, Cavite",3,3,203,9850000.0
140,"Alaminos, Laguna",3,1,46,1000000.0
141,"Silang, Cavite",3,2,66,6720000.0
