,Brand,StorageCapacity,ScreenSize,BatteryCap,Prices
0,Samsung,512GB,7.0 inches and up,4201mAh-4999mAh,105990.0
1,Samsung,512GB,7.0 inches and up,4201mAh-4999mAh,105990.0
2,Samsung,256GB,7.0 inches and up,4201mAh-4999mAh,98990.0
3,Samsung,256GB,7.0 inches and up,4201mAh-4999mAh,98990.0
4,OPPO,128GB,6.5-6.99 inches,5000+mAh,11199.0
5,Huawei,128GB,6.5-6.99 inches,3700mAh-4200mAh,13999.0
6,Huawei,128GB,6.5-6.99 inches,3700mAh-4200mAh,13999.0
7,Vivo,32GB,6.5-6.99 inches,5000+mAh,6699.0
8,Vivo,32GB,6.5-6.99 inches,5000+mAh,6699.0
9,Huawei,128GB,6.5-6.99 inches,5000+mAh,11999.0
10,Huawei,128GB,6.5-6.99 inches,5000+mAh,11999.0
11,Huawei,128GB,6.5-6.99 inches,5000+mAh,11999.0
14,Wiko,128GB,6.5-6.99 inches,3700mAh-4200mAh,11990.0
15,Wiko,128GB,6.5-6.99 inches,3700mAh-4200mAh,11990.0
16,Wiko,64GB,6.0-6.5 inches,5000+mAh,4990.0
17,Wiko,64GB,6.0-6.5 inches,5000+mAh,4990.0
19,Samsung,64GB,6.0-6.5 inches,5000+mAh,5990.0
20,Samsung,64GB,6.0-6.5 inches,5000+mAh,5990.0
21,Samsung,32GB,6.0-6.5 inches,5000+mAh,4990.0
22,Tecno,128GB,6.5-6.99 inches,5000+mAh,8999.0
23,Tecno,64GB,6.5-6.99 inches,5000+mAh,4599.0
24,Tecno,64GB,6.5-6.99 inches,5000+mAh,4599.0
25,Tecno,64GB,6.5-6.99 inches,5000+mAh,4599.0
26,realme,128GB,6.0-6.5 inches,5000+mAh,13999.0
27,Huawei,128GB,6.5-6.99 inches,5000+mAh,8499.0
28,Huawei,128GB,6.5-6.99 inches,5000+mAh,8499.0
29,OPPO,32GB,6.5-6.99 inches,4201mAh-4999mAh,6199.0
30,OPPO,32GB,6.5-6.99 inches,4201mAh-4999mAh,6199.0
31,realme,64GB,6.5-6.99 inches,5000+mAh,8499.0
32,realme,64GB,6.5-6.99 inches,5000+mAh,8499.0
33,Vivo,32GB,6.5-6.99 inches,5000+mAh,5499.0
34,Samsung,256GB,6.5-6.99 inches,5000+mAh,29990.0
35,Samsung,256GB,6.5-6.99 inches,5000+mAh,29990.0
36,Samsung,256GB,6.5-6.99 inches,5000+mAh,29990.0
37,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,7599.0
38,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,7599.0
39,Xiaomi,64GB,6.5-6.99 inches,5000+mAh,6699.0
40,Xiaomi,256GB,6.5-6.99 inches,4201mAh-4999mAh,48999.0
41,Xiaomi,256GB,6.5-6.99 inches,4201mAh-4999mAh,48999.0
42,Xiaomi,256GB,6.0-6.5 inches,4201mAh-4999mAh,39999.0
43,Xiaomi,256GB,6.0-6.5 inches,4201mAh-4999mAh,39999.0
44,Xiaomi,256GB,6.0-6.5 inches,4201mAh-4999mAh,39999.0
48,Samsung,512GB,6.5-6.99 inches,5000+mAh,80990.0
49,Samsung,256GB,6.5-6.99 inches,5000+mAh,72990.0
50,Samsung,256GB,6.5-6.99 inches,5000+mAh,72990.0
51,Samsung,256GB,6.5-6.99 inches,5000+mAh,72990.0
66,Samsung,128GB,6.5-6.99 inches,5000+mAh,12990.0
67,Samsung,128GB,6.5-6.99 inches,5000+mAh,12990.0
68,Samsung,256GB,6.0-6.5 inches,5000+mAh,19990.0
69,Samsung,256GB,6.0-6.5 inches,5000+mAh,19990.0
70,Samsung,256GB,6.0-6.5 inches,5000+mAh,19990.0
71,Samsung,128GB,6.5-6.99 inches,5000+mAh,10990.0
72,Samsung,128GB,6.5-6.99 inches,5000+mAh,9990.0
73,Samsung,256GB,6.0-6.5 inches,5000+mAh,23490.0
74,Samsung,256GB,6.0-6.5 inches,5000+mAh,23490.0
75,Samsung,256GB,6.0-6.5 inches,5000+mAh,23490.0
76,Samsung,256GB,6.0-6.5 inches,5000+mAh,23490.0
77,Samsung,128GB,6.0-6.5 inches,5000+mAh,21490.0
78,Samsung,256GB,6.5-6.99 inches,4201mAh-4999mAh,60990.0
79,Samsung,256GB,6.5-6.99 inches,4201mAh-4999mAh,60990.0
80,Samsung,128GB,6.5-6.99 inches,4201mAh-4999mAh,56990.0
81,Samsung,128GB,6.5-6.99 inches,4201mAh-4999mAh,56990.0
82,Samsung,128GB,6.5-6.99 inches,4201mAh-4999mAh,56990.0
83,Samsung,128GB,6.0-6.5 inches,5000+mAh,6990.0
84,Samsung,128GB,6.0-6.5 inches,5000+mAh,6990.0
85,Samsung,128GB,6.0-6.5 inches,5000+mAh,6990.0
86,Samsung,256GB,6.0-6.5 inches,3700mAh-4200mAh,49990.0
87,Samsung,256GB,6.0-6.5 inches,3700mAh-4200mAh,49990.0
88,Samsung,128GB,6.0-6.5 inches,3700mAh-4200mAh,45990.0
89,Samsung,512GB,6.5-6.99 inches,5000+mAh,80990.0
90,Samsung,128GB,6.5-6.99 inches,5000+mAh,68990.0
91,Samsung,128GB,6.5-6.99 inches,5000+mAh,68990.0
92,Samsung,256GB,6.5-6.99 inches,4201mAh-4999mAh,60990.0
93,Xiaomi,128GB,6.0-6.5 inches,5000+mAh,9999.0
94,Xiaomi,128GB,6.0-6.5 inches,5000+mAh,9999.0
95,Samsung,256GB,6.0-6.5 inches,4201mAh-4999mAh,37990.0
96,realme,128GB,6.5-6.99 inches,5000+mAh,10990.0
97,Vivo,64GB,6.5-6.99 inches,5000+mAh,7799.0
98,Vivo,64GB,6.5-6.99 inches,5000+mAh,7799.0
99,Vivo,32GB,6.5-6.99 inches,5000+mAh,6199.0
100,Vivo,32GB,6.5-6.99 inches,5000+mAh,6199.0
101,Huawei,256GB,6.5-6.99 inches,4201mAh-4999mAh,19999.0
109,Samsung,64GB,6.0-6.5 inches,5000+mAh,5990.0
110,Samsung,64GB,6.0-6.5 inches,5000+mAh,5990.0
119,OPPO,64GB,6.5-6.99 inches,5000+mAh,8199.0
120,Huawei,128GB,6.5-6.99 inches,3700mAh-4200mAh,19999.0
121,Vivo,128GB,6.0-6.5 inches,3700mAh-4200mAh,19999.0
122,realme,128GB,6.0-6.5 inches,5000+mAh,12990.0
123,realme,128GB,6.0-6.5 inches,5000+mAh,12990.0
124,realme,32GB,6.0-6.5 inches,5000+mAh,5599.0
125,Huawei,128GB,6.0-6.5 inches,3700mAh-4200mAh,8998.0
126,realme,Others,6.0-6.5 inches,3700mAh-4200mAh,10998.0
127,Huawei,256GB,6.5-6.99 inches,4201mAh-4999mAh,35998.0
128,OPPO,Others,6.0-6.5 inches,5000+mAh,10498.0
131,OPPO,128GB,6.0-6.5 inches,5000+mAh,13990.0
132,OPPO,Others,6.0-6.5 inches,3700mAh-4200mAh,8998.0
133,Samsung,128GB,6.5-6.99 inches,5000+mAh,18990.0
134,Samsung,128GB,6.5-6.99 inches,5000+mAh,18990.0
135,Samsung,128GB,6.5-6.99 inches,5000+mAh,18990.0
136,Samsung,128GB,6.5-6.99 inches,3700mAh-4200mAh,58990.0
137,Samsung,128GB,6.0-6.5 inches,5000+mAh,13990.0
138,Samsung,128GB,6.0-6.5 inches,5000+mAh,13990.0
139,realme,32GB,6.0-6.5 inches,5000+mAh,4999.0
140,Vivo,128GB,6.0-6.5 inches,3700mAh-4200mAh,15999.0
141,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,7599.0
142,Samsung,32GB,6.0-6.5 inches,5000+mAh,4990.0
143,Samsung,128GB,6.5-6.99 inches,5000+mAh,10990.0
144,Samsung,128GB,6.5-6.99 inches,5000+mAh,10990.0
145,Samsung,256GB,6.5-6.99 inches,5000+mAh,28990.0
146,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,17499.0
148,Samsung,256GB,6.5-6.99 inches,4201mAh-4999mAh,60990.0
149,Samsung,128GB,6.5-6.99 inches,5000+mAh,26990.0
150,Xiaomi,128GB,6.0-6.5 inches,5000+mAh,13499.0
151,Samsung,128GB,6.5-6.99 inches,5000+mAh,9990.0
152,Samsung,128GB,6.5-6.99 inches,5000+mAh,12990.0
153,Samsung,128GB,6.0-6.5 inches,4201mAh-4999mAh,34990.0
154,Vivo,128GB,6.0-6.5 inches,3700mAh-4200mAh,17999.0
155,Vivo,32GB,6.5-6.99 inches,5000+mAh,5499.0
156,Samsung,256GB,6.5-6.99 inches,5000+mAh,28990.0
157,realme,64GB,6.0-6.5 inches,5000+mAh,6999.0
158,realme,128GB,6.5-6.99 inches,5000+mAh,10990.0
159,OPPO,256GB,6.5-6.99 inches,5000+mAh,15999.0
160,Samsung,128GB,6.5-6.99 inches,5000+mAh,26990.0
161,OPPO,64GB,6.5-6.99 inches,5000+mAh,8199.0
162,Samsung,256GB,6.5-6.99 inches,5000+mAh,28990.0
163,Samsung,128GB,6.5-6.99 inches,5000+mAh,12990.0
164,Samsung,128GB,6.0-6.5 inches,5000+mAh,21490.0
165,Samsung,256GB,6.0-6.5 inches,3700mAh-4200mAh,49990.0
166,Samsung,128GB,6.0-6.5 inches,3700mAh-4200mAh,45990.0
167,Samsung,128GB,6.0-6.5 inches,5000+mAh,21490.0
168,realme,128GB,6.5-6.99 inches,5000+mAh,16990.0
169,Samsung,128GB,6.5-6.99 inches,4201mAh-4999mAh,56990.0
170,Samsung,256GB,6.5-6.99 inches,5000+mAh,72990.0
171,Vivo,128GB,6.0-6.5 inches,3700mAh-4200mAh,17999.0
172,Samsung,256GB,6.5-6.99 inches,4201mAh-4999mAh,57990.0
173,OPPO,Others,6.0-6.5 inches,5000+mAh,10498.0
176,realme,128GB,6.5-6.99 inches,5000+mAh,16990.0
177,Vivo,128GB,6.5-6.99 inches,5000+mAh,10999.0
178,Samsung,128GB,6.0-6.5 inches,4201mAh-4999mAh,34990.0
179,Vivo,128GB,6.5-6.99 inches,3700mAh-4200mAh,14999.0
180,Vivo,128GB,6.5-6.99 inches,3700mAh-4200mAh,14999.0
183,realme,128GB,6.0-6.5 inches,4201mAh-4999mAh,18990.0
184,Vivo,128GB,6.0-6.5 inches,3700mAh-4200mAh,19999.0
186,OPPO,Others,6.0-6.5 inches,5000+mAh,13990.0
187,Huawei,256GB,6.0-6.5 inches,3700mAh-4200mAh,39999.0
188,Huawei,512GB,7.0 inches and up,4201mAh-4999mAh,99999.0
192,Huawei,256GB,6.5-6.99 inches,4201mAh-4999mAh,45999.0
193,Samsung,128GB,6.5-6.99 inches,5000+mAh,9990.0
195,realme,128GB,6.5-6.99 inches,5000+mAh,9499.0
196,Samsung,512GB,6.5-6.99 inches,5000+mAh,80990.0
199,Samsung,128GB,6.0-6.5 inches,3700mAh-4200mAh,45990.0
