Year,Philippines
1845,25.58175
1846,26.412916666666664
1847,25.882500000000004
1848,25.681583333333336
1849,25.91508333333333
1850,25.915000000000003
1851,26.087500000000002
1852,26.023666666666667
1853,26.21366666666667
1854,26.330416666666668
1855,26.0565
1856,25.645
1857,25.806916666666666
1858,25.947333333333333
1859,26.087416666666666
1860,26.0115
1861,25.843166666666665
1862,25.348916666666668
1863,25.89425
1864,25.729
1865,26.279
1866,26.109083333333334
1867,26.359083333333334
1868,26.419666666666668
1869,26.372833333333336
1870,26.254083333333337
1871,26.136666666666667
1872,26.279583333333335
1873,26.183666666666667
1874,26.407749999999997
1875,25.963916666666666
1876,25.73091666666667
1877,26.454333333333334
1878,26.62091666666667
1879,26.14091666666667
1880,25.857250000000004
1881,25.895833333333332
1882,26.031333333333333
1883,25.927000000000003
1884,25.438916666666668
1885,25.77208333333333
1886,25.434583333333332
1887,25.604416666666665
1888,26.313666666666666
1889,26.24508333333333
1890,25.941166666666664
1891,25.971
1892,25.749333333333336
1893,25.73025
1894,25.871583333333334
1895,25.873333333333335
1896,26.032916666666665
1897,26.54025
1898,26.191583333333337
1899,25.922583333333336
1900,26.206
1901,25.98783333333333
1902,26.154583333333335
1903,26.360833333333332
1904,25.7765
1905,25.933000000000003
1906,26.128083333333336
1907,26.21875
1908,26.282
1909,26.3295
1910,26.243666666666666
1911,26.020750000000003
1912,26.55716666666667
1913,26.229333333333333
1914,26.522666666666666
1915,26.938000000000002
1916,26.23966666666667
1917,26.136666666666667
1918,25.82875
1919,26.511916666666668
1920,26.337666666666667
1921,26.376666666666665
1922,26.508916666666668
1923,25.97758333333333
1924,26.335166666666666
1925,26.100416666666664
1926,26.35366666666667
1927,26.42325
1928,26.3415
1929,26.136833333333332
1930,26.36825
1931,26.55175
1932,26.191916666666668
1933,26.285083333333333
1934,25.85258333333333
1935,26.155
1936,26.388500000000004
1937,26.512416666666667
1938,26.45866666666667
1939,26.353250000000003
1940,26.488833333333332
1941,26.904083333333332
1942,26.55333333333333
1943,26.338250000000002
1944,26.424083333333332
1945,26.23125
1946,26.7565
1947,26.52475
1948,26.386333333333337
1949,26.632
1950,26.614583333333332
1951,26.782666666666668
1952,26.944833333333335
1953,26.929000000000002
1954,26.9045
1955,26.625333333333334
1956,26.694833333333335
1957,26.942583333333335
1958,26.8965
1959,26.996916666666667
1960,26.911916666666666
1961,26.84766666666667
1962,26.790499999999998
1963,26.491833333333332
1964,26.833166666666667
1965,26.62783333333333
1966,27.0585
1967,26.517666666666667
1968,26.655333333333335
1969,27.109583333333333
1970,27.107250000000004
1971,26.476083333333335
1972,26.73391666666667
1973,27.170749999999998
1974,26.715083333333336
1975,26.832333333333334
1976,26.533583333333336
1977,26.87425
1978,26.55366666666667
1979,26.843666666666667
1980,27.02316666666667
1981,26.78791666666667
1982,26.765416666666667
1983,27.212833333333332
1984,26.774583333333336
1985,26.95175
1986,26.790000000000003
1987,27.389499999999998
1988,27.424000000000003
1989,26.732833333333332
1990,26.854416666666665
1991,26.691333333333333
1992,26.722333333333335
1993,26.874333333333336
1994,26.892750000000003
1995,26.800916666666666
1996,26.953166666666664
1997,26.986500000000003
1998,27.801000000000002
1999,27.06658333333333
2000,27.020666666666667
2001,27.17125
2002,27.103083333333334
2003,27.073166666666665
2004,27.094250000000002
2005,27.120416666666667
2006,27.23091666666667
2007,27.20625
2008,26.937583333333333
2009,26.915916666666664
2010,27.492333333333335
2011,26.8165
2012,27.336416666666665
2013,27.703222222222223
