,Bedrooms,Bathrooms,Sqm,Cost,Zscore
0,3,2,115,5580000.0,-0.22799072841498516
1,3,2,150,8300000.000000001,-0.09059060889417242
2,3,5,238,14000000.0,0.19734346510164827
3,5,8,525,35000000.0,1.2581532114020404
4,7,6,1200,54000000.0,2.2179334580547763
5,3,3,218,16000000.0,0.2983729647493047
6,4,4,350,42000000.0,1.611756460168838
7,2,1,54,2500000.0,-0.38357615787237603
8,3,3,180,9500000.0,-0.02997290910557863
9,4,4,255,32000000.0,1.106608961930556
10,4,4,325,25000000.0,0.7530057131637584
11,5,2,220,5500000.0,-0.23203190840089144
13,5,4,450,41500000.0,1.5864990852569238
16,5,5,580,38000000.0,1.409697460873525
17,4,5,280,28000000.0,0.904549962635243
18,3,2,96,8000000.0,-0.10574503384132093
19,5,5,334,42000000.0,1.611756460168838
21,2,2,150,9000000.0,-0.055230284017492734
22,2,1,150,3000000.0,-0.35831878296046193
23,4,4,296,24000000.0,0.7024909633399302
24,4,4,325,25000000.0,0.7530057131637584
25,2,2,120,12000000.0,0.09631396545399187
26,4,5,220,19500000.0,0.4751745891327034
27,5,5,443,41700000.0,1.5966020352216894
28,5,4,326,17000000.0,0.3488877145731329
29,3,2,204,16000000.0,0.2983729647493047
30,3,3,210,9250000.0,-0.04260159656153568
32,4,4,255,19900000.0,0.49538048906223464
33,6,4,137,15500000.0,0.2731155898373906
34,3,3,218,9850000.0,-0.012292746667238761
35,4,2,650,30000000.0,1.0055794622828995
36,4,3,120,12800000.0,0.13672576531305441
37,4,4,350,45000000.0,1.7633007096403224
38,4,4,240,18000000.0,0.3994024643969611
39,0,2,56,2460000.0,-0.38559674786532916
41,5,5,500,38000000.0,1.409697460873525
42,5,5,360,25000000.0,0.7530057131637584
43,6,6,550,29800000.0,0.9954765123181338
45,4,4,150,18000000.0,0.3994024643969611
46,3,2,72,5300000.0,-0.24213485836565707
47,5,4,330,48000000.0,1.914844959111807
48,3,3,160,9800000.0,-0.014818484158430172
49,6,6,527,65000000.0,2.7735957061168866
50,3,3,152,8000000.0,-0.10574503384132093
51,5,4,395,42800000.0,1.6521682600279004
52,6,3,450,35000000.0,1.2581532114020404
53,6,6,380,21800000.0,0.5913585137275083
54,4,5,300,35000000.0,1.2581532114020404
56,4,3,360,16000000.0,0.2983729647493047
57,4,4,1222,20000000.0,0.5004319640446174
58,3,2,121,6900000.0,-0.16131125864753196
59,3,3,104,9500000.0,-0.02997290910557863
60,3,3,161,13000000.0,0.14682871527782007
61,3,2,82,3500000.0,-0.33306140804854784
62,6,7,241,28000000.0,0.904549962635243
63,2,1,40,1450000.0,-0.4366166451873956
64,7,5,102,7000000.0,-0.15625978366514914
65,0,1,50,1600000.0,-0.4290394327138214
66,2,1,44,1400000.0,-0.4391423826785871
67,2,2,80,3100000.0,-0.3532673079780791
68,4,2,90,3870000.0,-0.3143709506137314
69,0,1,26,1800000.0,-0.41893648274905576
70,3,2,104,5480000.0,-0.233042203397368
71,3,2,65,4200000.0,-0.2977010831718681
72,2,1,42,2020000.0,-0.40782323778781354
73,3,3,234,8199999.999999999,-0.09564208387655533
74,2,1,40,3180000.0,-0.34922612799217284
75,5,6,350,25000000.0,0.7530057131637584
76,2,2,71,3800000.0,-0.31790698310139937
77,3,2,55,3080000.0,-0.3542776029745557
78,3,2,40,1840000.0,-0.41691589275610264
79,2,1,40,1750000.0,-0.42146222024024715
80,2,1,36,2700000.0,-0.3734732079076104
81,2,1,36,2800000.0,-0.36842173292522756
82,2,2,60,3170000.0,-0.3497312754904111
83,2,1,40,2290000.0,-0.39418425533537993
84,3,2,94,4980000.0,-0.2582995783092821
85,3,2,63,4580000.0,-0.2785054782388134
86,2,1,36,2540000.0,-0.3815555678794229
87,3,3,199,11000000.0,0.04579921563016367
88,0,1,22,600000.0,-0.4795541825376496
89,2,1,28,1800000.0,-0.41893648274905576
90,2,2,73,2280000.0,-0.39468940283361825
91,2,2,40,3460000.0,-0.33508199804150096
92,2,1,40,3170000.0,-0.3497312754904111
93,2,2,53,6040000.0,-0.2047539434960242
94,2,1,48,2240000.0,-0.3967099928265714
95,3,2,60,2600000.0,-0.3785246828899932
96,2,1,31,640000.0,-0.47753359254469646
97,2,1,50,2220000.0,-0.3977202878230479
98,3,3,211,26000000.0,0.8035204629875866
99,4,4,158,7100000.0,-0.1512083086827663
100,4,2,110,6410000.0,-0.18606348606120776
101,3,3,120,10300000.0,0.010438890753483929
102,2,1,33,663930.0,-0.47632477458141226
103,4,4,143,13200000.0,0.1569316652425857
104,2,1,46,3510000.0,-0.33255626055030957
105,5,5,258,12600000.0,0.1266228153482888
106,2,1,40,2220000.0,-0.3977202878230479
107,2,2,56,1900000.0,-0.413885007766673
108,3,2,86,3430000.0,-0.3365974405362158
109,2,1,43,4290000.0,-0.29315475568772353
110,2,1,50,1650000.0,-0.42651369522263
111,2,1,36,2700000.0,-0.3734732079076104
112,0,1,42,1580000.0,-0.430049727710298
113,3,2,100,6500000.0,-0.18151715857706324
114,3,2,66,5960000.0,-0.20879512348193047
115,3,2,75,4580000.0,-0.2785054782388134
116,3,2,73,2030000.0,-0.4073180902895753
117,2,1,56,3450000.0,-0.33558714553973923
118,2,1,50,1890000.0,-0.41439015526491124
119,3,2,60,2810000.0,-0.3679165854269893
120,3,2,66,5960000.0,-0.20879512348193047
121,2,1,50,2760000.0,-0.3704423229181807
122,3,2,60,4530000.0,-0.2810312157300048
123,2,1,40,3240000.0,-0.3461952430027432
124,0,1,26,1610000.0,-0.4285342852155831
125,2,2,50,1890000.0,-0.41439015526491124
126,2,1,56,3450000.0,-0.33558714553973923
127,2,1,50,1890000.0,-0.41439015526491124
128,3,1,140,7500000.0,-0.13100240875323502
129,4,3,85,5780000.0,-0.21788777845021953
130,2,1,36,2610000.0,-0.3780195353917549
131,2,1,36,2460000.0,-0.38559674786532916
132,9,9,460,42000000.0,1.611756460168838
133,4,2,85,5500000.0,-0.23203190840089144
134,4,3,190,11000000.0,0.04579921563016367
135,3,3,150,5290000.0,-0.24264000586389536
136,2,1,40,2840000.0,-0.36640114293227444
137,3,2,75,4930000.0,-0.2608253158004735
138,3,3,203,9850000.0,-0.012292746667238761
139,3,1,46,1000000.0,-0.45934828260811833
140,3,2,66,6720000.0,-0.17040391361582102
141,5,3,170,10000000.0,-0.004715534193664531
142,3,2,180,5800000.0,-0.21687748345374297
143,3,2,101,3620000.0,-0.32699963806968846
144,2,1,42,2140000.0,-0.40176146780895416
145,2,1,40,2900000.0,-0.3633702579428447
146,3,2,308,33000000.0,1.157123711754384
147,5,3,260,13400000.0,0.16703461520735136
148,4,3,139,18000000.0,0.3994024643969611
149,2,1,24,2000000.0,-0.40883353278429013
150,4,4,410,48800000.0,1.9552567589708696
151,4,2,500,25000000.0,0.7530057131637584
152,2,1,40,2500000.0,-0.38357615787237603
153,9,6,500,50000000.0,2.0158744587594635
154,3,3,183,12300000.0,0.11146839040114033
155,2,1,33,669600.0,-0.4760383559499112
156,2,1,75,5000000.0,-0.25728928331280554
157,0,1,50,1400000.0,-0.4391423826785871
158,3,1,42,1870000.0,-0.4154004502613878
159,3,2,50,9500000.0,-0.02997290910557863
160,2,1,44,1620000.0,-0.42802913771734485
161,3,2,100,6300000.0,-0.19162010854182887
162,2,1,35,4700000.0,-0.272443708259954
163,2,1,58,1810000.0,-0.4184313352508175
164,3,2,40,2300000.0,-0.39367910783714166
165,2,1,44,1820000.0,-0.4179261877525792
166,2,1,44,1110000.0,-0.4537916601274972
167,2,1,48,2240000.0,-0.3967099928265714
168,2,1,40,2330000.0,-0.3921636653424268
169,2,1,44,1110000.0,-0.4537916601274972
170,4,3,90,7160000.0,-0.1481774236933366
171,2,1,51,1500000.0,-0.43409090769620423
172,2,1,44,2010000.0,-0.40832838528605186
