Month,MilesMM
1963-01-01,6827.0
1963-01-02,6775.328886151812
1963-01-03,6725.739828738871
1963-01-04,6678.197708562657
1963-01-05,6632.702525623168
1963-01-06,6589.254279920405
1963-01-07,6547.852971454366
1963-01-08,6508.498600225051
1963-01-09,6471.191166232463
1963-01-10,6435.9306694766
1963-01-11,6402.717109957462
1963-01-12,6371.550487675049
1963-01-13,6342.430802629362
1963-01-14,6315.3580548204
1963-01-15,6290.332244248163
1963-01-16,6267.353370912651
1963-01-17,6246.421434813864
1963-01-18,6227.5364359518035
1963-01-19,6210.698374326466
1963-01-20,6195.907249937855
1963-01-21,6183.163062785969
1963-01-22,6172.46581287081
1963-01-23,6163.815500192373
1963-01-24,6157.212124750663
1963-01-25,6152.655686545678
1963-01-26,6150.146185577419
1963-01-27,6149.683621845884
1963-01-28,6151.267995351074
1963-01-29,6154.899306092991
1963-01-30,6160.577554071632
1963-01-31,6168.302739286999
1963-02-01,6178.0
1963-02-02,6189.893921427907
1963-02-03,6203.7599183534485
1963-02-04,6219.672852515716
1963-02-05,6237.632723914707
1963-02-06,6257.639532550425
1963-02-07,6279.693278422868
1963-02-08,6303.793961532036
1963-02-09,6329.94158187793
1963-02-10,6358.136139460549
1963-02-11,6388.377634279892
1963-02-12,6420.666066335962
1963-02-13,6455.001435628755
1963-02-14,6491.383742158276
1963-02-15,6529.812985924518
1963-02-16,6569.275459599249
1963-02-17,6608.757455854226
1963-02-18,6648.2589746894455
1963-02-19,6687.780016104913
1963-02-20,6727.320580100625
1963-02-21,6766.880666676585
1963-02-22,6806.460275832789
1963-02-23,6846.059407569239
1963-02-24,6885.678061885935
1963-02-25,6925.316238782878
1963-02-26,6964.973938260065
1963-02-27,7004.651160317497
1963-02-28,7044.347904955174
1963-03-01,7084.0
1963-03-02,7123.79996197127
1963-03-03,7163.5552743496855
1963-03-04,7203.330109308347
1963-03-05,7243.124466847254
1963-03-06,7282.938346966406
1963-03-07,7322.771749665806
1963-03-08,7362.624674945451
1963-03-09,7402.497122805342
1963-03-10,7442.389093245477
1963-03-11,7482.300586265857
1963-03-12,7522.231601866486
1963-03-13,7562.18214004736
1963-03-14,7602.152200808478
1963-03-15,7642.141784149842
1963-03-16,7682.150890071452
1963-03-17,7722.009593680254
1963-03-18,7760.698345617911
1963-03-19,7798.047220991376
1963-03-20,7834.056219800643
1963-03-21,7868.725342045713
1963-03-22,7902.054587726586
1963-03-23,7934.043956843264
1963-03-24,7964.693449395744
1963-03-25,7994.003065384028
1963-03-26,8021.972804808116
1963-03-27,8048.602667668006
1963-03-28,8073.892653963701
1963-03-29,8097.842763695199
1963-03-30,8120.452996862503
1963-03-31,8141.72335346561
1963-04-01,8162.0
1963-04-02,8180.24443697923
1963-04-03,8197.495163889746
1963-04-04,8213.406014236067
1963-04-05,8227.976988018188
1963-04-06,8241.208085236116
1963-04-07,8253.099305889846
1963-04-08,8263.65064997938
1963-04-09,8272.862117504717
1963-04-10,8280.733708465857
1963-04-11,8287.265422862802
1963-04-12,8292.457260695552
1963-04-13,8296.309221964102
1963-04-14,8298.821306668457
1963-04-15,8299.993514808617
1963-04-16,8299.825846384578
1963-04-17,8299.766832575842
1963-04-18,8301.26500456191
1963-04-19,8304.320362342778
1963-04-20,8308.93290591845
1963-04-21,8315.10263528892
1963-04-22,8322.829550454197
1963-04-23,8332.113651414273
1963-04-24,8342.95493816915
1963-04-25,8355.353410718832
1963-04-26,8369.30906906331
1963-04-27,8384.821913202595
1963-04-28,8401.891943136681
1963-04-29,8420.519158865569
1963-04-30,8440.703560389258
1963-05-01,8462.0
1963-05-02,8485.743920821044
1963-05-03,8510.599879729138
