,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,HoursWorkedPerWeek,EmploymentSector,SalaryUSD
0,United States,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,200000.0
1,United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,35,Private business,61515.0
2,Germany,Microsoft SQL Server,5,Full time employee,Other,45,Private business,95000.0
3,United Kingdom,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,56000.0
4,France,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,35000.0
5,United Kingdom,Microsoft SQL Server,15,Independent,DBA,35,Private business,215000.0
6,Germany,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,75000.0
7,Netherlands,Microsoft SQL Server,4,Full time employee,DBA,36,Private business,47000.0
8,United Kingdom,Microsoft SQL Server,3,Full time employee,Developer,40,Private business,41000.0
9,United Kingdom,Microsoft SQL Server,8,Full time employee,Engineer,45,Private business,51652.0
10,Netherlands,Microsoft SQL Server,4,Full time employee,Developer,36,Private business,37500.0
11,Belgium,Microsoft SQL Server,22,Full time employee,Developer,40,Private business,60000.0
12,United States,Microsoft SQL Server,16,Full time employee,DBA,55,Private business,137500.0
13,United Kingdom,Microsoft SQL Server,7,Full time employee,Developer,37,Private business,63000.0
14,United States,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,85000.0
15,United States,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,96000.0
16,United Kingdom,Microsoft SQL Server,22,Full time employee,DBA,37,Private business,90000.0
17,United States,Microsoft SQL Server,10,Full time employee,Developer,60,Private business,66000.0
18,United States,Microsoft SQL Server,13,Full time employee,DBA,60,Private business,101750.0
19,Canada,Microsoft SQL Server,15,Full time employee,Developer,40,Private business,83000.0
20,Canada,Microsoft SQL Server,10,Full time employee,DBA,42,Private business,45000.0
21,United States,Azure SQL DB,5,Full time employee,DBA,60,Private business,78000.0
22,United States,Microsoft SQL Server,7,Full time employee,DBA,45,Private business,123000.0
23,United States,Microsoft SQL Server,16,Full time employee,Architect,40,Private business,100800.0
24,United States,Microsoft SQL Server,16,Full time employee,Developer,40,Private business,148000.0
25,United States,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,113000.0
26,Poland,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,40000.0
27,United States,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,80000.0
28,United States,Microsoft SQL Server,18,Full time employee,DBA,40,Government,133500.0
29,United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,102000.0
30,United Kingdom,Microsoft SQL Server,9,Full time employee,Developer,40,Private business,74000.0
31,United States,Microsoft SQL Server,2,Full time employee,Developer,45,Private business,52000.0
32,Ukraine,Microsoft SQL Server,5,Full time employee,DBA,40,Government,95000.0
33,United States,Microsoft SQL Server,7,Full time employee,Engineer,40,Private business,107690.0
34,Australia,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,107000.0
35,Germany,Microsoft SQL Server,12,Full time employee,Architect,40,Private business,84000.0
36,United States,Microsoft SQL Server,13,Full time employee,Architect,40,Private business,140000.0
37,India,Microsoft SQL Server,14,Full time employee,DBA,40,Private business,29511.0
38,United States,Microsoft SQL Server,18,Independent,DBA,40,Private business,165000.0
39,United States,Microsoft SQL Server,10,Full time employee,DBA,65,Private business,200000.0
40,United States,Microsoft SQL Server,9,Full time employee,DBA,40,Government,133000.0
41,Canada,Microsoft SQL Server,10,Full time employee,DBA,37,Private business,67000.0
42,United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,122500.0
43,United States,Microsoft SQL Server,7,Full time employee,DBA,45,Government,120000.0
44,United States,Microsoft SQL Server,5,Full time employee,Developer,48,Private business,145000.0
45,United States,Microsoft SQL Server,20,Full time employee,Developer,45,Private business,95000.0
46,United States,Microsoft SQL Server,2,Full time employee,Developer,40,Private business,77600.0
47,Canada,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,46000.0
48,United States,Microsoft SQL Server,16,Full time employee,Architect,40,Private business,140000.0
49,India,Microsoft SQL Server,9,Full time employee,Architect,40,Private business,23000.0
50,United States,Microsoft SQL Server,10,Full time employee,Architect,45,Private business,138000.0
51,United States,Microsoft SQL Server,15,Full time employee,Architect,50,Private business,110000.0
52,Belgium,Microsoft SQL Server,5,Full time employee,Developer,40,Private business,40000.0
53,Germany,Microsoft SQL Server,6,Full time employee,Developer,45,Private business,72800.0
54,United States,Microsoft SQL Server,5,Full time employee,Developer,40,Private business,99000.0
55,Portugal,Microsoft SQL Server,10,Full time employee,Engineer,50,Private business,50000.0
56,South Africa,Microsoft SQL Server,16,Full time employee,Developer,40,Private business,55000.0
57,United States,Microsoft SQL Server,15,Full time employee,Engineer,40,Private business,90000.0
58,United States,Microsoft SQL Server,15,Full time employee,Developer,35,Private business,175000.0
59,United States,Microsoft SQL Server,15,Full time employee,Developer,40,Private business,113400.0
60,United States,Microsoft SQL Server,4,Full time employee,Other,60,Private business,120000.0
61,United States,Microsoft SQL Server,9,Full time employee,DBA,45,Private business,97500.0
62,Greece,Microsoft SQL Server,6,Full time employee,Developer,50,Private business,17621.0
63,Portugal,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,26500.0
64,United States,Microsoft SQL Server,16,Full time employee,DBA,45,Private business,105000.0
65,United States,Microsoft SQL Server,3,Full time employee,Developer,50,Private business,85000.0
66,United States,Microsoft SQL Server,13,Full time employee,DBA,40,Private business,104000.0
67,United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,39,Government,41900.0
68,United States,Microsoft SQL Server,6,Full time employee,DBA,45,Private business,99000.0
69,United States,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,98000.0
70,United States,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,51000.0
71,United States,Microsoft SQL Server,20,Full time employee,Other,50,Private business,98000.0
72,United States,Microsoft SQL Server,19,Full time employee,DBA,50,Private business,98000.0
73,United States,Microsoft SQL Server,17,Full time employee,DBA,50,Private business,116000.0
74,United States,Microsoft SQL Server,4,Full time employee,DBA,46,Private business,60000.0
75,Israel,MongoDB,4,Full time employee,Architect,55,Private business,150000.0
76,United States,Microsoft SQL Server,5,Full time employee,Analyst,40,Private business,70760.0
77,Germany,Microsoft SQL Server,10,Full time employee,Other,50,Private business,65000.0
78,United Kingdom,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,67770.0
79,Canada,Microsoft SQL Server,9,Full time employee,DBA,40,Private business,81000.0
80,United States,Microsoft SQL Server,4,Full time employee,Developer,45,Private business,82000.0
81,Sweden,Microsoft SQL Server,10,Full time employee,DBA,35,Private business,60000.0
82,United States,Microsoft SQL Server,1,Full time employee,DBA,40,Private business,55000.0
83,United Kingdom,Microsoft SQL Server,12,Full time employee,DBA,38,Private business,70000.0
84,United States,Microsoft SQL Server,2,Full time employee,Developer,40,Private business,86006.0
85,United Kingdom,Microsoft SQL Server,9,Full time employee,DBA,42,Private business,70850.0
86,United Kingdom,Microsoft SQL Server,12,Independent,DBA,37,Private business,98517.0
87,United Kingdom,Microsoft SQL Server,4,Full time employee,Developer,40,Private business,23000.0
88,United States,Microsoft SQL Server,10,Full time employee,DBA,45,Government,107000.0
89,United States,PostgreSQL,4,Full time employee,Engineer,45,Private business,94000.0
90,United States,Microsoft SQL Server,5,Full time employee,DBA,42,Private business,78000.0
91,United States,Microsoft SQL Server,17,Full time employee,DBA,60,Private business,200000.0
92,United States,Microsoft SQL Server,21,Full time employee,DBA,45,Private business,120000.0
93,United States,Microsoft SQL Server,7,Full time employee,DBA,45,Private business,72000.0
94,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,125000.0
95,United States,Microsoft SQL Server,10,Full time employee,Developer,45,Private business,67000.0
96,United Kingdom,Microsoft SQL Server,14,Full time employee,DBA,40,Private business,129000.0
97,United States,Microsoft SQL Server,16,Full time employee,DBA,50,Private business,117000.0
98,Netherlands,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,66000.0
99,United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,85155.0
100,United States,Microsoft SQL Server,15,Full time employee,Other,40,Private business,95000.0
101,United States,Microsoft SQL Server,7,Full time employee,Engineer,40,Private business,141000.0
102,United Kingdom,Microsoft SQL Server,10,Full time employee,Developer,45,Private business,58000.0
103,United States,Microsoft SQL Server,8,Full time employee,DBA,45,Government,95000.0
104,United States,Microsoft SQL Server,11,Full time employee,Architect,45,Private business,121000.0
105,India,Microsoft SQL Server,6,Full time employee,DBA,100,Private business,10000.0
106,India,Microsoft SQL Server,6,Full time employee,DBA,30,Private business,15000.0
107,United States,Microsoft SQL Server,15,Full time employee,DBA,41,Private business,130000.0
108,United States,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,115000.0
109,United States,Microsoft SQL Server,18,Independent,Developer,40,Private business,300000.0
110,United States,Microsoft SQL Server,2,Full time employee,Analyst,40,Private business,64000.0
111,United Kingdom,Microsoft SQL Server,16,Independent,Developer,38,Private business,93000.0
112,United States,Microsoft SQL Server,7,Full time employee,DBA,50,Private business,95000.0
113,United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,115000.0
114,United Kingdom,Microsoft SQL Server,1,Full time employee,DBA,35,Private business,30798.0
115,United States,Microsoft SQL Server,11,Full time employee,Engineer,55,Private business,140000.0
116,United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,125000.0
117,United States,Microsoft SQL Server,18,Full time employee,DBA,40,Private business,87000.0
118,United States,Oracle,3,Full time employee,Developer,40,Private business,99000.0
119,United Kingdom,Microsoft SQL Server,15,Full time employee,Developer,35,Private business,44278.0
120,United States,Microsoft SQL Server,4,Full time employee,DBA,45,Government,78000.0
121,United States,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,93000.0
122,United States,Microsoft SQL Server,12,Full time employee,Developer,40,Private business,115000.0
123,Spain,Microsoft SQL Server,8,Full time employee,DBA,45,Private business,50000.0
124,United States,Microsoft SQL Server,8,Full time employee,Developer,45,Private business,88000.0
125,United States,Microsoft SQL Server,5,Full time employee,DBA,45,Government,72000.0
126,United States,Microsoft SQL Server,15,Full time employee,Developer,55,Private business,99000.0
127,United States,Microsoft SQL Server,14,Full time employee,Manager,45,Private business,85000.0
128,South Africa,Microsoft SQL Server,7,Full time employee,Developer,45,Private business,45000.0
129,United States,Microsoft SQL Server,3,Full time employee,DBA,50,Private business,72000.0
130,Poland,Microsoft SQL Server,3,Full time employee,Developer,40,Private business,37669.0
131,United Kingdom,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,90000.0
132,Germany,Microsoft SQL Server,20,Full time employee,Developer,40,Private business,85000.0
133,United States,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,95000.0
134,United States,Microsoft SQL Server,3,Full time employee,Engineer,45,Private business,70000.0
135,United States,Microsoft SQL Server,6,Full time employee,Developer,50,Private business,88130.0
136,Norway,Microsoft SQL Server,5,Full time employee,Engineer,38,Government,65388.0
137,Poland,Microsoft SQL Server,8,Full time employee,Developer,40,Private business,35900.0
138,United Kingdom,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,47000.0
139,India,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,12000.0
140,France,Oracle,3,Full time employee,DBA,40,Private business,42000.0
141,United Kingdom,Microsoft SQL Server,11,Full time employee,DBA,38,Private business,61606.0
142,India,Oracle,7,Full time employee,DBA,40,Private business,16666.0
143,United States,Microsoft SQL Server,13,Full time employee,DBA,40,Government,85000.0
144,United States,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,95000.0
145,United States,Microsoft SQL Server,3,Full time employee,Analyst,40,Government,82000.0
146,United Kingdom,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,40000.0
147,Spain,Microsoft SQL Server,12,Independent,DBA,40,Private business,45000.0
148,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,35,Private business,50600.0
149,Jersey,Microsoft SQL Server,4,Full time employee,DBA,47,Private business,49289.0
150,Spain,Oracle,13,Full time employee,DBA,40,Private business,40000.0
151,United States,Microsoft SQL Server,5,Full time employee,DBA,50,Private business,91000.0
152,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Government,96000.0
153,United States,Microsoft SQL Server,18,Full time employee,Engineer,40,Private business,113000.0
154,Argentina,Microsoft SQL Server,8,Independent,DBA,30,Private business,27000.0
155,United States,Microsoft SQL Server,12,Full time employee,Data Scientist,40,Government,116000.0
156,Russia,Microsoft SQL Server,10,Independent,Developer,80,Private business,35000.0
157,United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,105000.0
158,Belgium,Microsoft SQL Server,13,Full time employee,DBA,38,Private business,50400.0
159,United States,Microsoft SQL Server,15,Full time employee,DBA,38,Private business,125000.0
160,Switzerland,Microsoft SQL Server,6,Full time employee,Developer,42,Private business,100000.0
161,United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,130000.0
162,United States,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,105000.0
163,United States,Microsoft SQL Server,1,Full time employee,DBA,40,Private business,57000.0
164,United States,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,90000.0
165,United States,Microsoft SQL Server,2,Full time employee,DBA,40,Government,63000.0
166,United States,Microsoft SQL Server,6,Full time employee,Manager,50,Private business,115000.0
167,United States,Microsoft SQL Server,20,Full time employee,Architect,40,Private business,270000.0
168,Denmark,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,80000.0
169,United States,Microsoft SQL Server,11,Full time employee,Developer,40,Private business,157000.0
170,United States,Microsoft SQL Server,4,Full time employee,DBA,45,Private business,48000.0
171,Canada,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,49124.0
172,United States,Microsoft SQL Server,17,Full time employee,Developer,40,Government,117832.0
173,Ireland,Microsoft SQL Server,11,Full time employee,DBA,40,Private business,63000.0
174,United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,105000.0
175,United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,80000.0
176,United Kingdom,Microsoft SQL Server,13,Independent,Architect,42,Private business,160000.0
177,United States,Microsoft SQL Server,18,Full time employee,Architect,32,Private business,147000.0
178,Italy,Microsoft SQL Server,15,Full time employee,Engineer,45,Private business,21000.0
179,Sweden,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,64000.0
180,United States,Microsoft SQL Server,18,Full time employee,DBA,55,Private business,125000.0
181,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,115000.0
182,Netherlands,Microsoft SQL Server,8,Full time employee,DBA,30,Government,45000.0
183,United States,PostgreSQL,1,Full time employee,DBA,42,Private business,130000.0
184,India,Microsoft SQL Server,4,Full time employee,DBA,45,Private business,7968.0
185,United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,42,Private business,40000.0
186,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Government,98000.0
187,United States,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,100000.0
188,United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,65000.0
189,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,104000.0
190,United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,90000.0
191,United States,Microsoft SQL Server,9,Full time employee,Architect,45,Private business,138500.0
192,United States,Microsoft SQL Server,17,Full time employee,Developer,40,Private business,120000.0
193,United States,Microsoft SQL Server,10,Full time employee,Analyst,50,Private business,132725.0
194,United Kingdom,Microsoft SQL Server,12,Full time employee,DBA,45,Private business,75000.0
195,India,Microsoft SQL Server,6,Full time employee,DBA,35,Private business,15000.0
196,United States,Microsoft SQL Server,2,Full time employee,Analyst,37,Government,63500.0
197,United States,Microsoft SQL Server,4,Full time employee,DBA,36,Private business,75000.0
198,United States,Microsoft SQL Server,10,Full time employee,DBA,55,Private business,96000.0
199,United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,130000.0
200,United States,Microsoft SQL Server,21,Full time employee,Architect,45,Private business,115000.0
201,Sweden,Microsoft SQL Server,25,Full time employee,DBA,40,Private business,88900.0
202,Australia,Microsoft SQL Server,10,Full time employee,Other,45,Private business,88000.0
203,United States,Microsoft SQL Server,5,Full time employee,Developer,40,Government,62000.0
204,United States,Microsoft SQL Server,16,Full time employee,DBA,60,Private business,165000.0
205,India,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,17647.0
206,United States,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,93000.0
207,United States,Microsoft SQL Server,7,Full time employee,Manager,50,Private business,97000.0
208,United States,Microsoft SQL Server,4,Full time employee,DBA,50,Private business,85000.0
209,United States,Microsoft SQL Server,6,Full time employee,Developer,45,Private business,111000.0
210,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,134000.0
211,Switzerland,Microsoft SQL Server,4,Full time employee,DBA,42,Private business,95500.0
212,United States,Microsoft SQL Server,12,Full time employee,Developer,50,Private business,100000.0
213,United States,Microsoft SQL Server,6,Full time employee,DBA,50,Private business,122000.0
214,Mexico,Microsoft SQL Server,6,Full time employee,DBA,48,Private business,26000.0
215,United States,Microsoft SQL Server,4,Full time employee,Analyst,48,Private business,46000.0
216,United States,Microsoft SQL Server,8,Full time employee,DBA,40,Government,103110.0
217,India,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,25500.0
218,United States,Microsoft SQL Server,9,Full time employee,Engineer,42,Private business,92000.0
219,India,Microsoft SQL Server,1,Full time employee,DBA,45,Private business,14000.0
220,United States,Microsoft SQL Server,7,Full time employee,Developer,48,Private business,112500.0
221,United Kingdom,Microsoft SQL Server,20,Full time employee,Architect,40,Private business,70000.0
222,United States,Microsoft SQL Server,12,Full time employee,DBA,50,Private business,120000.0
223,Albania,Microsoft SQL Server,6,Full time employee,DBA,160,Government,12000.0
224,United States,Microsoft SQL Server,16,Full time employee,DBA,37,Private business,12300.0
225,United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,100000.0
226,Denmark,Microsoft SQL Server,15,Full time employee,Developer,37,Private business,80000.0
227,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,120000.0
