,Region,Sqm,Bathrooms,Bedrooms,Cost
0,Quezon City,32,1,0,5860000.0
1,Quezon City,38,1,0,5870000.0
2,IV A,39,1,0,8020000.0
3,IV A,35,1,0,8800000.0
4,Mandaluyong,24,1,0,5000000.0
5,Other NCR loc,30,1,2,2500000.0
6,Pasig,88,1,0,22000000.0
7,VII,43,1,2,5000000.0
8,Pasig,38,1,0,6700000.0
9,IV A,19,1,0,3400000.0
10,Other NCR loc,13,1,0,1820000.0
11,IV A,45,1,0,9510000.0
12,Other NCR loc,35,1,0,7000000.0
13,Pasay,23,1,0,6000000.0
14,Quezon City,20,1,0,3050000.0
15,Other City/Province,21,1,0,4200000.0
16,Other NCR loc,22,1,0,4099999.9999999995
17,Muntinlupa,16,1,0,4260000.0
18,IV A,18,1,0,3100000.0
19,Other NCR loc,49,1,2,3930000.0
20,Other NCR loc,153,3,3,9800000.0
21,III,27,0,0,5100000.0
22,VII,63,1,2,2900000.0
23,IV A,24,1,0,2490000.0
24,Other NCR loc,13,1,0,1820000.0
25,IV A,45,1,0,9510000.0
26,Pasay,23,1,0,6000000.0
27,Other NCR loc,35,1,0,7000000.0
28,Quezon City,20,1,0,3050000.0
29,Muntinlupa,16,1,0,4260000.0
30,Other City/Province,21,1,0,4200000.0
31,IV A,18,1,0,3100000.0
32,III,27,0,0,5100000.0
33,Other NCR loc,153,3,3,9800000.0
34,VII,63,1,2,2900000.0
35,IV A,24,1,0,2490000.0
36,Quezon City,36,1,0,6000000.0
37,III,27,1,0,5050000.0
38,VII,30,1,0,2089999.9999999998
39,Pasay,36,1,0,5500000.0
41,IV A,26,1,0,3080000.0
42,VII,22,1,0,2350000.0
43,IV A,21,1,0,2460000.0
44,Mandaluyong,20,1,0,6070000.0
45,Quezon City,28,1,0,3220000.0
46,Other City/Province,32,1,0,888000.0
47,Pasig,22,1,0,3830000.0
48,IV A,21,1,0,2460000.0
49,Makati,85,2,3,13800000.0
50,Quezon City,22,1,0,3900000.0
51,VII,29,1,0,5780000.0
52,Quezon City,18,1,0,3970000.0
53,Quezon City,54,1,2,6640000.0
54,Other NCR loc,25,1,0,3500000.0
55,Quezon City,30,1,0,5740000.0
56,Quezon City,20,1,0,2500000.0
57,III,28,1,0,4200000.0
58,Mandaluyong,61,1,2,5860000.0
59,Other NCR loc,30,1,2,2200000.0
60,IV A,32,1,0,7950000.0
61,VII,25,1,0,2880000.0
62,IV A,35,1,0,8500000.0
63,Quezon City,49,1,2,4860000.0
64,Other City/Province,40,1,0,9120000.0
65,Quezon City,25,1,0,3100000.0
66,Pasig,43,1,0,10200000.0
67,Quezon City,38,1,0,7500000.0
68,Pasay,36,1,0,5500000.0
70,IV A,26,1,0,3080000.0
71,III,27,1,0,5050000.0
72,Quezon City,36,1,0,6000000.0
73,VII,22,1,0,2350000.0
74,VII,30,1,0,2089999.9999999998
75,Mandaluyong,20,1,0,6070000.0
76,Quezon City,28,1,0,3220000.0
77,Other City/Province,32,1,0,888000.0
78,Pasig,22,1,0,3830000.0
79,Quezon City,18,1,0,3100000.0
80,IV A,30,1,0,8660000.0
81,VII,22,1,0,2680000.0
82,Pasig,59,1,0,15000000.0
83,Pasig,24,1,0,5700000.0
84,VII,30,1,0,3500000.0
85,III,24,1,0,5530000.0
86,IV A,26,1,0,1770000.0
87,Taguig,117,3,3,36300000.0
88,Quezon City,60,1,2,7050000.0
89,IV A,50,1,2,2650000.0
90,Other NCR loc,20,1,0,2160000.0
91,IV A,18,1,0,2000000.0
92,Pasig,60,1,0,14600000.0
93,Makati,51,2,2,6750000.0
94,Pasay,56,1,2,7800000.0
95,VII,52,1,0,12300000.0
96,Other NCR loc,25,0,0,3600000.0
97,VII,52,1,0,12300000.0
98,VII,22,1,0,1750000.0
99,Makati,23,1,0,7370000.0
100,Other NCR loc,68,2,3,5860000.0
101,Taguig,106,2,2,30800000.0
102,IV A,35,1,0,8500000.0
103,Quezon City,49,1,2,4860000.0
104,Quezon City,38,1,0,8790000.0
105,Other City/Province,40,1,0,9120000.0
106,Quezon City,25,1,0,3100000.0
107,Other City/Province,31,1,0,4420000.0
108,Pasig,43,1,0,10200000.0
109,Pasay,37,1,0,5500000.0
110,Quezon City,38,1,0,7500000.0
111,Quezon City,20,1,0,3250000.0
112,VII,36,1,0,6800000.0
113,VII,25,1,0,2500000.0
114,Other NCR loc,22,1,0,3120000.0
115,Pasay,23,1,0,6430000.0
116,Other City/Province,30,1,0,5190000.0
117,Other City/Province,22,1,0,2780000.0
118,Pasig,44,1,0,11500000.0
119,IV A,50,1,2,2720000.0
120,IV A,22,1,0,3500000.0
121,Pasig,24,1,0,3600000.0
122,Quezon City,23,1,0,3200000.0
123,VII,23,1,2,4740000.0
124,Quezon City,24,1,0,4090000.0
125,Quezon City,22,1,0,2500000.0
126,VII,26,1,0,2960000.0
127,Pasay,27,1,0,7950000.0
128,VII,25,1,0,6300000.0
129,IV A,25,1,0,2880000.0
130,Taguig,121,2,2,41000000.0
131,VII,36,1,2,2940000.0
132,Quezon City,27,1,0,2460000.0
133,VII,30,1,0,2600000.0
134,Other NCR loc,24,1,0,2850000.0
135,Pasig,27,1,0,4500000.0
136,IV A,62,1,2,5430000.0
137,IV A,40,1,2,4210000.0
138,Quezon City,31,1,0,4000000.0
139,Pasig,24,1,0,5600000.0
140,Other NCR loc,21,1,0,4600000.0
141,Pasig,86,2,2,24000000.0
142,III,50,1,0,7800000.0
143,Quezon City,31,1,0,8600000.0
144,Mandaluyong,25,1,0,3100000.0
146,VII,67,1,0,26300000.0
147,Other NCR loc,56,2,2,7000000.0
148,Other NCR loc,30,1,0,4800000.0
149,Other City/Province,21,1,0,2350000.0
150,Taguig,109,2,2,28000000.0
151,IV A,56,1,0,6700000.0
152,Mandaluyong,32,1,0,5440000.0
153,Mandaluyong,30,1,0,4480000.0
154,Taguig,24,1,0,5940000.0
155,Mandaluyong,65,1,2,7000000.0
156,Pasay,27,1,0,4200000.0
157,IV A,28,1,0,2520000.0
158,Taguig,25,1,0,5900000.0
159,III,33,0,0,6540000.0
160,Mandaluyong,27,1,0,3750000.0
161,Other NCR loc,24,1,0,2400000.0
162,Makati,41,1,0,8300000.000000001
163,Other NCR loc,22,1,0,2200000.0
164,Quezon City,27,1,0,3800000.0
165,Quezon City,26,1,0,4160000.0
166,Pasig,28,1,0,3380000.0
167,Quezon City,26,1,0,4260000.0
168,Other NCR loc,46,1,0,4130000.0
169,Makati,28,1,0,11500000.0
170,Taguig,78,3,2,22800000.0
171,IV A,60,1,2,50000000.0
172,Taguig,74,3,2,21000000.0
173,IV A,37,1,0,7970000.0
174,Pasay,38,1,0,10800000.0
175,Quezon City,23,1,0,3400000.0
176,VII,49,1,0,11800000.0
177,Pasig,60,1,0,17000000.0
178,Pasig,48,1,0,12100000.0
179,Mandaluyong,60,2,2,10300000.0
180,Makati,24,1,0,7100000.0
181,Makati,30,1,0,8600000.0
182,Makati,28,1,0,9800000.0
183,Benguet,20,1,0,3600000.0
184,Other NCR loc,31,1,0,3770000.0
185,Mandaluyong,50,1,2,8000000.0
186,Makati,38,1,2,6680000.0
187,Quezon City,30,1,2,4470000.0
188,IV A,26,1,0,1770000.0
189,Quezon City,27,1,0,2300000.0
190,Other NCR loc,157,3,3,25000000.0
191,VII,60,1,2,5590000.0
192,VII,57,1,2,11000000.0
193,Pasig,39,2,2,5500000.0
194,IV A,26,1,0,5410000.0
195,IV A,68,1,0,21400000.0
196,VII,18,1,0,1420000.0
197,VII,24,1,0,2040000.0
198,Makati,30,1,0,8060000.000000001
199,Pasay,25,1,0,11400000.0
200,Quezon City,30,1,0,8100000.0
201,IV A,31,1,2,4500000.0
202,IV A,24,1,0,3950000.0
203,Other NCR loc,24,1,0,4090000.0
204,IV A,33,1,2,6200000.0
205,Other NCR loc,39,1,2,7000000.0
206,Other City/Province,63,1,2,9390000.0
207,IV A,26,1,0,3490000.0
208,Pasay,26,1,0,4000000.0
209,Quezon City,23,1,0,3400000.0
