,HouseDescription,Address,Cost,City/Province,Sqm,ZscoreCost,ZscoreSQM
0,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",1500000.0,Quezon,1000,-0.06923281816932715,-0.11756183337509452
1,"For Sale Agricultural Farm 50,000 sqm. ","Alangalang, Leyte",3500000.0,Leyte,50000,-0.06881994000469709,0.017331289475636093
2,"For Sale Agricultural Farm 48,656 sqm. ","Lingayen, Pangasinan",16000000.0,Pangasinan,48656,-0.06623945147575919,0.013631363820301768
3,"For Sale Residential Farm 1,080 sqm. ","Bulakan, Bulacan",3000000.0,Bulacan,1080,-0.06892315954585461,-0.11734159970513414
4,"For Sale Agricultural Farm 21,148 sqm. ","Sariaya, Quezon",15900000.0,Quezon,21148,-0.06626009538399069,-0.06209598359557369
5,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",950000.0,Quezon,1000,-0.06934635966460043,-0.11756183337509452
6,For Sale Agricultural Farm 500 sqm. ,"Laurel, Batangas",6400000.0,Batangas,500,-0.0682212666659835,-0.11893829381234687
7,"For Sale Agricultural Farm 1,000 sqm. ","Tuy, Batangas",1300000.0,Batangas,1000,-0.06927410598579016,-0.11756183337509452
8,"For Sale Residential Farm 1,100 sqm. ","Alfonso, Cavite",5500000.0,Cavite,1100,-0.06840706184006702,-0.11728654128764404
9,For Sale Agricultural Farm 850 sqm. ,"Alfonso, Cavite",5530000.0,Cavite,850,-0.06840086866759758,-0.11797477150627021
10,For Sale Agricultural Farm 350 sqm. ,"Magallanes, Cavite",1230000.0,Cavite,350,-0.06928855672155221,-0.11935123194352257
11,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",950000.0,Quezon,1000,-0.06934635966460043,-0.11756183337509452
12,"For Sale Agricultural Farm 14,500 sqm. ","Mauban, Quezon",3200000.0,Quezon,14500,-0.0688818717293916,-0.08039740156928098
13,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",950000.0,Quezon,1000,-0.06934635966460043,-0.11756183337509452
14,"For Sale Agricultural Farm 77,000 sqm. ","Candelaria, Quezon",18000000.0,Quezon,77000,-0.06582657331112912,0.09166015308726316
15,"For Sale Agricultural Farm 175,000 sqm. ","Taytay, Palawan",16000000.0,Palawan,175000,-0.06623945147575919,0.3614463987887243
16,"For Sale Agricultural Farm 862,429 sqm. ","Aroroy, Masbate",34500000.0,Masbate,862429,-0.06242032845293108,2.25388404262862
17,For Sale Agricultural Farm 150 sqm. ,"Alfonso, Cavite",975000.0,Cavite,150,-0.06934119868754254,-0.11990181611842352
18,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",1300000.0,Quezon,1000,-0.06927410598579016,-0.11756183337509452
19,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",1200000.0,Quezon,1000,-0.06929474989402166,-0.11756183337509452
20,"For Sale Agricultural Farm 102,000 sqm. ","Calauag, Quezon",3800000.0,Quezon,102000,-0.06875800828000259,0.16048317494988082
21,"For Sale Agricultural Farm 1,000 sqm. ","Cebu City, Cebu",1000000.0,Cebu,1000,-0.06933603771048467,-0.11756183337509452
22,"For Sale Agricultural Farm 10,000 sqm. ","Santa Catalina, Negros Oriental",900000.0,Oriental,10000,-0.06935668161871618,-0.09278554550455216
23,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",950000.0,Quezon,1000,-0.06934635966460043,-0.11756183337509452
24,"For Sale Agricultural Farm 2,500 sqm. ","Magalang, Pampanga",5000000.0,Pampanga,2500,-0.06851028138122454,-0.11343245206333745
25,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",1300000.0,Quezon,1000,-0.06927410598579016,-0.11756183337509452
26,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",1300000.0,Quezon,1000,-0.06927410598579016,-0.11756183337509452
27,"For Sale Agricultural Farm 11,920 sqm. ","Umingan, Pangasinan",4000000.0,Pangasinan,11920,-0.06871672046353958,-0.08749993742550312
28,"For Sale Agricultural Farm 148,077 sqm. ","Umingan, Pangasinan",17800000.0,Pangasinan,148077,-0.06586786112759213,0.2873295100844342
29,For Sale Agricultural Farm 948 sqm. ,"Tiaong, Quezon",850000.0,Quezon,948,-0.06936700357283193,-0.11770498526056876
30,"For Sale Agricultural Farm 10,600 sqm. ","Malvar, Batangas",10600000.0,Batangas,10600,-0.06735422252026035,-0.09113379297984933
31,"For Sale Agricultural Farm 1,000,000 sqm. ","Dasol, Pangasinan",180000000.0,Pangasinan,1000000,-0.03238344197609384,2.632606120255107
