HouseDescription,Address,Cost
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.50 million
"For Sale Agricultural Farm 50,000 sqm. ","Alangalang, Leyte",₱ 3.50 million
"For Sale Agricultural Farm 48,656 sqm. ","Lingayen, Pangasinan",₱ 16.0 million
"For Sale Residential Farm 1,080 sqm. ","Bulakan, Bulacan",₱ 3.00 million
"For Sale Agricultural Farm 21,148 sqm. ","Sariaya, Quezon",₱ 15.9 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
For Sale Agricultural Farm 500 sqm. ,"Laurel, Batangas",₱ 6.40 million
"For Sale Agricultural Farm 1,000 sqm. ","Tuy, Batangas",₱ 1.30 million
"For Sale Residential Farm 1,100 sqm. ","Alfonso, Cavite",₱ 5.50 million
For Sale Agricultural Farm 850 sqm. ,"Alfonso, Cavite",₱ 5.53 million
For Sale Agricultural Farm 350 sqm. ,"Magallanes, Cavite",₱ 1.23 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
"For Sale Agricultural Farm 14,500 sqm. ","Mauban, Quezon",₱ 3.20 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
"For Sale Agricultural Farm 77,000 sqm. ","Candelaria, Quezon",₱ 18.0 million
"For Sale Agricultural Farm 175,000 sqm. ","Taytay, Palawan",₱ 16.0 million
"For Sale Agricultural Farm 862,429 sqm. ","Aroroy, Masbate",₱ 34.5 million
For Sale Agricultural Farm 150 sqm. ,"Alfonso, Cavite","₱ 975,000"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.30 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.20 million
"For Sale Agricultural Farm 102,000 sqm. ","Calauag, Quezon",₱ 3.80 million
"For Sale Agricultural Farm 1,000 sqm. ","Cebu City, Cebu",₱ 1.00 million
"For Sale Agricultural Farm 10,000 sqm. ","Santa Catalina, Negros Oriental","₱ 900,000"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
"For Sale Agricultural Farm 2,500 sqm. ","Magalang, Pampanga",₱ 5.00 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.30 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.30 million
"For Sale Agricultural Farm 11,920 sqm. ","Umingan, Pangasinan",₱ 4.00 million
"For Sale Agricultural Farm 148,077 sqm. ","Umingan, Pangasinan",₱ 17.8 million
For Sale Agricultural Farm 948 sqm. ,"Tiaong, Quezon","₱ 850,000"
"For Sale Agricultural Farm 10,600 sqm. ","Malvar, Batangas",₱ 10.6 million
"For Sale Agricultural Farm 1,000,000 sqm. ","Dasol, Pangasinan",₱ 180 million
"For Sale Agricultural Farm 6,000 sqm. ","Villasis, Pangasinan",₱ 15.0 million
"For Sale Agricultural Farm 11,427 sqm. ","Indang, Cavite",₱ 35.0 million
"For Sale Agricultural Farm 40,000 sqm. ","Umingan, Pangasinan",₱ 7.20 million
"For Sale Agricultural Farm 40,000 sqm. ","Tayug, Pangasinan",₱ 12.0 million
"For Sale Agricultural Farm 1,003,000 sqm. ","Bugallon, Pangasinan",₱ 181 million
For Sale Agricultural Farm 300 sqm. ,"Indang, Cavite",₱ 1.20 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.50 million
"For Sale Others 25,526 sqm. ","San Jose, Tarlac",₱ 14.0 million
"For Sale Agricultural Farm 131,668 sqm. ","Mabini, Pangasinan",₱ 15.8 million
"For Sale Agricultural Farm 154,839 sqm. ","San Jose, Tarlac",₱ 40.3 million
"For Sale Agricultural Farm 14,000 sqm. ","Unisan, Quezon",₱ 1.80 million
For Sale Agricultural Farm 500 sqm. ,"Concepcion, Tarlac","₱ 650,000"
"For Sale Residential Farm 1,037 sqm. ","Tuy, Batangas",₱ 1.38 million
"For Sale Agricultural Farm 114,000 sqm. ","Umingan, Pangasinan",₱ 7.98 million
"For Sale Agricultural Farm 439,901 sqm. ","San Ildefonso, Bulacan",₱ 167 million
"For Sale Agricultural Farm 10,000 sqm. ","Lipa, Batangas",₱ 50.0 million
"For Sale Agricultural Farm 10,000 sqm. ","Lipa, Batangas",₱ 50.0 million
"For Sale Agricultural Farm 100,000 sqm. ","Mabini, Pangasinan",₱ 12.0 million
For Sale Residential Farm 583 sqm. ,"Amadeo, Cavite",₱ 2.70 million
"For Sale Agricultural Farm 1,000 sqm. ","Tuy, Batangas",₱ 1.32 million
"For Sale Agricultural Farm 154,839 sqm. ","San Jose, Tarlac",₱ 40.3 million
"For Sale Agricultural Farm 8,111 sqm. ","San Miguel, Bohol",₱ 4.00 million
"For Sale Agricultural Farm 60,000 sqm. ","Coron, Palawan",₱ 1.70 million
"For Sale Agricultural Farm 439,901 sqm. ","San Ildefonso, Bulacan",₱ 167 million
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite",₱ 1.44 million
"For Sale Agricultural Farm 58,646 sqm. ","Tanay, Rizal",₱ 24.0 million
"For Sale Agricultural Farm 6,849 sqm. ","Batangas City, Batangas",₱ 3.50 million
"For Sale Agricultural Farm 20,834 sqm. ","Lipa, Batangas",₱ 107 million
"For Sale Agricultural Farm 1,310,000 sqm. ","Talakag, Bukidnon",₱ 32.8 million
For Sale Agricultural Farm 500 sqm. ,"Gitagum, Misamis Oriental",₱ 1.25 million
"For Sale Agricultural Farm 90,000 sqm. ","Tigbauan, Iloilo",₱ 9.00 million
"For Sale Agricultural Farm 68,501 sqm. ","San Jose, Tarlac",₱ 20.6 million
"For Sale Raw Land 102,206 sqm. ","Gerona, Tarlac",₱ 30.7 million
For Sale Agricultural Farm 400 sqm. ,"Amadeo, Cavite",₱ 1.80 million
For Sale Residential Farm 150 sqm. ,"Amadeo, Cavite","₱ 825,000"
For Sale Residential Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 200,000"
For Sale Residential Farm 500 sqm. ,"Indang, Cavite",₱ 2.03 million
"For Sale Residential Farm 3,190 sqm. ","Lipa, Batangas",₱ 10.7 million
