PropertyDescription,Address,Sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,500/sqm"
"For Sale Agricultural Farm 50,000 sqm. ","Alangalang, Leyte",₱ 70/sqm
"For Sale Agricultural Farm 48,656 sqm. ","Lingayen, Pangasinan",₱ 328/sqm
"For Sale Agricultural Farm 21,148 sqm. ","Sariaya, Quezon",₱ 750/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 900/sqm
For Sale Agricultural Farm 500 sqm. ,"Laurel, Batangas","₱ 12,800/sqm"
"For Sale Residential Farm 1,080 sqm. ","Bulakan, Bulacan","₱ 2,777/sqm"
"For Sale Residential Farm 1,100 sqm. ","Alfonso, Cavite","₱ 5,000/sqm"
For Sale Agricultural Farm 850 sqm. ,"Alfonso, Cavite","₱ 6,500/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 950/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 950/sqm
For Sale Agricultural Farm 350 sqm. ,"Magallanes, Cavite","₱ 3,500/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tuy, Batangas","₱ 1,300/sqm"
"For Sale Agricultural Farm 77,000 sqm. ","Candelaria, Quezon",₱ 233/sqm
"For Sale Agricultural Farm 8,782 sqm. ","San Francisco, Cebu",₱ 136/sqm
"For Sale Agricultural Farm 175,000 sqm. ","Taytay, Palawan",₱ 91/sqm
"For Sale Agricultural Farm 14,500 sqm. ","Mauban, Quezon",₱ 220/sqm
"For Sale Agricultural Farm 862,429 sqm. ","Aroroy, Masbate",₱ 40/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,300/sqm"
"For Sale Agricultural Farm 50,000 sqm. ","Rosario, Batangas",₱ 320/sqm
For Sale Agricultural Farm 150 sqm. ,"Alfonso, Cavite","₱ 6,500/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Cebu City, Cebu","₱ 1,000/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Santa Catalina, Negros Oriental",₱ 90/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,200/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 950/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Cebu City, Cebu","₱ 1,000/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,300/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,300/sqm"
"For Sale Agricultural Farm 6,000 sqm. ","Villasis, Pangasinan","₱ 2,500/sqm"
For Sale Agricultural Farm 948 sqm. ,"Tiaong, Quezon",₱ 896/sqm
"For Sale Agricultural Farm 11,427 sqm. ","Indang, Cavite","₱ 3,062/sqm"
"For Sale Agricultural Farm 1,310,000 sqm. ","Talakag, Bukidnon",₱ 25/sqm
"For Sale Agricultural Farm 138,000 sqm. ","Guinsiliban, Camiguin",₱ 200/sqm
"For Sale Agricultural Farm 2,500 sqm. ","Magalang, Pampanga","₱ 2,000/sqm"
For Sale Agricultural Farm 500 sqm. ,"Concepcion, Tarlac","₱ 1,300/sqm"
"For Sale Agricultural Farm 114,000 sqm. ","Umingan, Pangasinan",₱ 70/sqm
"For Sale Agricultural Farm 11,920 sqm. ","Umingan, Pangasinan",₱ 335/sqm
"For Sale Agricultural Farm 10,600 sqm. ","Malvar, Batangas","₱ 1,000/sqm"
"For Sale Agricultural Farm 1,000,000 sqm. ","Dasol, Pangasinan",₱ 180/sqm
"For Sale Agricultural Farm 57,000 sqm. ","Pitogo, Quezon",₱ 78/sqm
"For Sale Agricultural Farm 21,000 sqm. ","Gumaca, Quezon",₱ 166/sqm
"For Sale Agricultural Farm 148,077 sqm. ","Umingan, Pangasinan",₱ 120/sqm
"For Sale Others 25,526 sqm. ","San Jose, Tarlac",₱ 550/sqm
"For Sale Agricultural Farm 131,668 sqm. ","Mabini, Pangasinan",₱ 120/sqm
"For Sale Agricultural Farm 8,111 sqm. ","San Miguel, Bohol",₱ 493/sqm
"For Sale Agricultural Farm 1,003,000 sqm. ","Bugallon, Pangasinan",₱ 180/sqm
"For Sale Agricultural Farm 42,000 sqm. ","Aguilar, Pangasinan",₱ 600/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tuy, Batangas","₱ 1,322/sqm"
"For Sale Agricultural Farm 1,310,000 sqm. ","Talakag, Bukidnon",₱ 25/sqm
"For Sale Agricultural Farm 138,000 sqm. ","Guinsiliban, Camiguin",₱ 200/sqm
For Sale Agricultural Farm 500 sqm. ,"Concepcion, Tarlac","₱ 1,300/sqm"
"For Sale Agricultural Farm 114,000 sqm. ","Umingan, Pangasinan",₱ 70/sqm
"For Sale Agricultural Farm 57,000 sqm. ","Pitogo, Quezon",₱ 78/sqm
