Name,Price
"HP Chromebook x360 11 G4 11.6"" HD Touch + Pen Celeron N4500 Laptop",$699
"HP ProBook 440 G8 14"" HD i5-1135G7 4G LTE Business Laptop","$1,249"
"Lenovo ThinkBook 14s Yoga 14"" FHD Touch i5-1135G7 Win11 Laptop","$1,099"
"HP ProBook 455 G9 15.6"" Touch Ryzen 5 5625U 16GB/256GB LTE W11P Laptop","$1,339"
"HP Probook 450 G9 15.6"" HD i5-1235U 8GB/256GB W11P Business Laptop","$1,299"
"HP ProBook 440 G8 14"" HD i5-1135G7 16GB (Upgraded) 256GB SSD Windows 10 Pro Business Laptop","$1,199"
"Lenovo ThinkPad T15 Gen 2 15.6"" Touch i7-1165G7 16GB DDR4 512GB NVMe LTE Windows 11 Laptop","$2,099"
"Asus Vivobook Pro 15 OLED M3500 15.6"" FHD Ryzen 7 5800H W11H Laptop - Quiet Blue","$1,199"
"MSI Summit E16Flip A11UCT 16"" QHD+ i7-1195G7 16GB/1TB RTX3050 W11P Laptop","$2,299"
"HP Probook 450 G9 15.6"" Touch i7-1255U 32GB/1TB W11P Business Laptop","$1,899"
"HP ZBook Firefly 14 G8 14"" FHD Touch i5-1135G7 16GB DDR4 512GB NVMe LTE Windows 10 Pro Laptop","$1,699"
"HP Zbook Power G9 15.6"" FHD Touch i7-12700H 16GB/512GB RTX A2000 W11P Portable Workstation Laptop","$2,799"
"HP Zbook Power G9 15.6"" FHD Touch i7-12700H 16GB/512GB RTX A1000 Portable Workstation Laptop","$2,599"
"HP Probook 11 x360 G6 EE 11.6"" HD Touch Core i3-10110Y/Windows 10 Pro MSNA Laptop - Gray",$999
"Asus Vivobook Pro 16X OLED M7600 16"" UHD Ryzen 7 5800H RTX3050TI Laptop","$2,199"
"MSI Katana GF66 12UC 15.6"" FHD 144Hz i7-12700H RTX3050 Laptop","$1,349"
"HP EliteBook x360 830 G8 13.3"" Touch i5-1135G7 8GB DDR4 256GB NVMe Business Laptop","$1,379"
"Lenovo ThinkPad L15 Gen 2 15.6"" FHD Ryzen 7 5850U Laptop","$1,299"
"MSI Katana GF66 12UD 15.6"" FHD 144Hz i7-12700H RTX3050TI Laptop","$1,599"
"HP ProBook 440 G9 14"" Touch i5-1235U 16GB/256GB LTE W11P Business Laptop","$1,699"
"Asus ZenBook Pro 15 UM535QE 15.6"" OLED Touch Ryzen 9 5900HX RTX 3050 Ti Laptop","$2,499"
"Asus Zenbook 14 UM3402 14"" WQXGA Ryzen 7 5825U 16GB LPDDR4X 512GB NVMe Windows 11 Home Laptop - Jade...","$1,629"
"HP Zbook Power G9 15.6"" 4K i9-12900H (vPro) 32GB RAM 1TB SSD A2000 Portable Workstation Laptop","$4,188"
"HP EliteBook x360 1030 G8 13.3"" Touch i5-1135G7 8GB/256GB Business Laptop","$1,499"
"Lenovo ThinkPad L14 Gen 2 14"" FHD Ryzen 5 5650U 16GB RAM (Upgraded) 500GB SSD (Upgraded) Windows 11 ...","$1,079"
"HP EliteBook 645 G9 14"" FHD Ryzen 7 5825U 16GB/256GB LTE W11P Laptop","$1,899"
"HP Zbook Power G9 15.6"" Touch i9-12900HK 32GB RAM 1TB SSD A2000 Portable Workstation Laptop","$3,838"
"Lenovo ThinkPad L14 Gen 2 14"" FHD Ryzen 5 5650U 8GB DDR4 256GB NVMe Windows 11 Pro Laptop",$899
"Lenovo ThinkPad T14 Gen 2 14"" FHD i7-1165G7 24GB RAM 1TB SSD Windows 10 Pro Laptop","$1,899"
"Dell Latitude 7520 15.6"" Touch i5-1145G7 16GB 512GB Windows 11 Pro Laptop","$1,499"
"Lenovo ThinkPad T14 Gen 2 14"" Touch Ryzen 5 PRO 5650U 16GB DDR4 512GB LTE Windows 11 Pro Laptop","$1,599"
"HP ProBook 455 G9 15.6"" Touch Ryzen 5 5625U 32GB(Upgraded) 1TB(Upgraded) LTE Business Laptop","$1,699"
"Dell Latitude 5420 14"" Touch i7-1185G7 16GB DDR4 512GB NVMe Windows 11 Pro Business Laptop","$1,799"
"Lenovo ThinkPad T15 Gen 2 15.6"" FHD i7-1165G7 8GB DDR4 256GB NVMe Windows 11 Pro Laptop - Black","$1,499"
LG Gram 16'' i7-1260P 16GB LPDDR5 1TB SSD Windows 11 Home Ultra-lightweight Laptop ,"$2,949"
"HP ProBook 440 G9 14"" FHD i7-1255U 32GB/1TB W11P Business Laptop","$2,199"
"MSI Katana GF76 12UC 17.3"" FHD 144Hz i7-12700H 8GB/512GB RTX 3050 Laptop","$1,599"
"HP Zbook Power G9 15.6"" i7-12700H 16GB/512GB T600 W11P Workstation Laptop","$2,599"
"Lenovo ThinkPad L15 Gen 2 15.6"" Touch i5-1135G7 16GB DDR4 256GB NVMe Laptop","$1,199"
"MSI Katana GF76 12UD 17.3"" 144Hz i7-12700H 8GB DDR4 1TB NVMe RTX3050 Ti Windows 11 Home Laptop","$1,699"
"Lenovo ThinkBook 14 P G2 14"" 2.2K Ryzen 7 5800H Laptop","$1,499"
"MSI Pulse GL76 12UGSK 17.3"" 360Hz i7-12700H 32GB/1TB RTX3070TI W11H Laptop","$3,799"
"MSI Summit E16FlipEvo A12MT 16"" 165Hz Touch + Pen i7-1280P 16GB/512GB W11P Laptop","$2,099"
"HP EliteBook 640 G9 14"" FHD i5-1235U 16GB/1TB LTE W11P Laptop","$1,699"
"Dell Latitude 5420 14"" FHD i5-1135G7 16GB DDR4 1TB(Upgraded) Windows 10 Pro Laptop","$1,339"
"MSI Stealth 17M A12UE 17.3"" 144Hz i7-1280P 16GB DDR4 1TB NVMe RTX3060 Windows 11 Home Laptop","$2,799"
"Lenovo ThinkPad L14 Gen 2 14"" FHD Ryzen 5 PRO 5650U 8GB/256GB W10P Laptop",$899
"HP ProBook 455 G9 15.6"" HD Ryzen 5 5625U 8GB DDR4 256GB NVMe LTE Windows 11 Pro Business Laptop","$1,199"
"Asus Zenbook 14X 14"" WQXGA i7-12700H 16GB LPDDR5 512GB NVMe Windows 11 Home Laptop - Pine Grey","$2,099"
"Lenovo ThinkBook 14s Yoga 14"" FHD Touch i5-1135G7 16GB(Upgraded) 256GB NVMe Windows 11 Pro Laptop","$1,299"
"Lenovo ThinkPad T15 Gen 2 15.6"" Touch i5-1135G7 16GB DDR4 512GB NVMe Windows 11 Pro Laptop - Black","$1,699"
"MSI CreatorPro M16 A12UKS 16"" QHD+ i7-12700H 32GB/1TB RTX A3000 W11P Laptop","$3,299"
"HP EliteBook x360 830 G8 13.3"" Touch i5-1145G7 (vPro) 8GB/256GB W10P Business Laptop","$1,769"
"HP ProBook 440 G8 14"" HD i5-1135G7 16GB(Upgraded) 1TB(Upgraded) LTE Business Laptop","$1,449"
"MSI Prestige 15 A12SC 15.6"" FHD i7-1280P 16GB LPDDR4X 512GB NVMe GTX1650 Windows 11 Home Laptop","$1,599"
"MSI Katana GF66 11UE 15.6"" 144Hz i5-11400H RTX3060 Laptop","$1,449"
"HP ProBook 440 G9 14"" Touch i5-1235U 16GB/512GB W11P Laptop","$1,659"
"Lenovo ThinkPad L14 Gen 2 14"" FHD Ryzen 5 5650U 16GB(Upgraded) 256GB NVMe Windows 11 Pro Laptop",$999
"Lenovo ThinkPad X1 Carbon Gen 10 14"" WUXGA i7-1260P 16GB 512GB NVMe Windows 11 Pro Laptop","$2,799"
"HP ProBook 445 G9 14"" HD Ryzen 5 5625U 8GB DDR4 256GB NVMe Windows 11 Pro Laptop","$1,199"
"Lenovo ThinkBook 14 P G2 14"" 2.2K Ryzen 5 5600H Laptop",$999
"Asus VivoBook 17 S712EA 17.3"" FHD i7-1165G7 512GB + 1TB Laptop - Transparent Silver","$1,599"
"HP Probook 450 G9 15.6"" HD i7-1255U 16GB/512GB W11P Business Laptop","$1,699"
"HP EliteBook 645 G9 14"" FHD Ryzen 5 5675U 16GB/256GB W11P Laptop","$1,399"
"MSI Pulse GL66 12UGSK-835AU 15.6"" QHD i7-12700H 32GB/1TB RTX3070TI Laptop","$3,699"
"MSI Summit E14FlipEvo A12MT 14"" Touch + Pen i7-1280P 16GB/512GB W11P Laptop","$2,099"
"HP EliteBook 860 G9 16"" Touch i5-1235U 16GB/256GB LTE W11P Laptop","$1,899"
"HP ProBook 440 G8 14"" i5-1135G7 32GB (Upgraded) 1TB (Upgraded) LTE Business Laptop","$1,559"
"HP ProBook 450 G9 15.6"" HD i5-1235U 16GB (Upgraded)/500GB (Upgraded) W11P Business Laptop","$1,399"
"HP EliteBook 850 G8 15.6"" i5-1135G7 16GB (Upgraded) 500GB SSD (Upgraded) MX450 Laptop","$1,769"
"HP ProBook 440 G8 14"" HD i5-1135G7 16GB (Upgraded) 500GB (Upgraded) Windows 10 Pro Business Laptop","$1,299"
"HP ProBook 455 G9 15.6"" HD Ryzen 5 5625U 16GB 1TB SSD(Upgraded) LTE Windows 11 Pro Business Laptop","$1,399"
"Lenovo ThinkPad L15 Gen 2 15.6"" FHD i7-1165G7 16GB(Upgraded) 256GB NVMe Windows 10 Pro Laptop ","$1,199"
Asus ROG Strix SCAR 17 SE (2022) G733 17.3” 360Hz i9-12950HX 32GB DDR5 2TB NVMe RTX3080Ti Laptop,"$5,559"
"HP Probook 650 G8 15.6"" FHD i7-1165G7 16GB (Upgraded) 1TB (Upgraded) LTE Business Laptop","$1,849"
"MSI Katana GF76 12UC 17.3"" 144Hz i5-12500H 8GB DDR4 512GB NVMe RTX3050 Windows 11 Home Laptop","$1,449"
"Dell Latitude 5420 14"" FHD i5-1145G7 16GB/512GB Laptop","$1,339"
"HP Probook 650 G8 15.6"" FHD i7-1165G7 4G LTE Business Laptop","$1,559"
"MSI Prestige 15 A12UC 15.6"" i7-1280P RTX3050 W11H Laptop - Carbon Gray","$1,559"
"HP Probook 450 G9 15.6"" HD i7-1255U 8GB/256GB W11 Business Laptop","$1,599"
"HP ProBook 440 G9 14"" HD i7-1255U 16GB/512GB W11P Business Laptop","$1,699"
"HP ProBook 440 G9 14"" Touch i5-1235U 16GB/256GB W11P Laptop","$1,559"
"HP EliteBook 655 G9 15.6"" FHD Ryzen 5 5675U 16GB/256GB LTE W11P Laptop","$1,699"
"HP EliteBook 640 G9 14"" FHD i5-1235U 16GB/512GB LTE W11P Laptop","$1,899"
"HP ProBook 450 G8 15.6"" HD i5-1135G7 16GB (Upgraded) 1TB SSD(Upgraded) Business Laptop","$1,399"
"HP ProBook 455 G9 15.6"" HD Ryzen 5 5625U 16GB/256GB LTE W11P Business Laptop","$1,299"
"HP ProBook 445 G9 14"" Touch Ryzen 5 5625U 16GB/256GB W11P Business Laptop","$1,229"
"HP EliteBook x360 830 G8 13.3"" Touch i7-1165G7 16GB/256GB LTE PEN W10P Business Laptop","$1,995"
"HP ProBook 440 G9 14"" FHD Touch i5-1235U 16GB/1TB SSD(Upgraded) W11P Laptop","$1,699"
"HP EliteBook x360 830 G8 13.3"" Touch i7-1165G7 8GB 1TB SSD(Upgraded) LTE Windows 10 Pro Business Lap...","$2,099"
"Lenovo ThinkPad L14 Gen 2 14"" FHD Ryzen 5 PRO 5650U 16GB(Upgraded) 256GB NVMe Windows 10 Pro Laptop","$1,039"
"HP ProBook 445 G9 14"" Touch Ryzen 5 5625U 16GB DDR4 1TB (Upgraded) Windows 11 Pro Business Laptop","$1,399"
"Toshiba Dynabook Portégé X30-G 13.3"" Touch i5-10210U 16GB DDR4 256GB SSD Windows 10 Pro Laptop","$1,329"
"Asus ProArt Studiobook Pro W7600 16"" 4K OLED Xeon W-11955M 64GB DDR4  RTX A5000 Workstation Laptop","$9,999"
"HP ProBook 445 G9 14"" HD Ryzen 7 5825U 16GB DDR4 256GB NVMe Windows 11 Pro Laptop","$1,339"
"HP ProBook 635 Aero G8 13.3"" FHD AMD Ryzen 7 5800U Laptop","$1,499"
