ProductDescription,Prices
" Lenovo Ideapad Slim 1 14IJL7 Intel Celeron N4500
IdeaPad Slim 1i 14IJL7 82LV0026PH ,Intel Celeron N4500 (2C / 2T, 1.1 / 2.8GHz, 4MB L3)
Integrated Intel UHD Graphic . 4GB Soldered DDR4-2933 , 128GB eMMC 5.1 storage , Display 14 inch HD (1366x768) TN 220nits Anti-glare , Battery Integrated 42Wh , WLAN + Bluetooth 11ac, 2x2 + BT5.0  Windows 11 
                        	Pay only P 1,882 a Month for 12 months or
P 3,565 a Month for 6 months on major credit cards.
						
"," ₱ 19,995

"
" Lenovo IDEAPAD 1 14IJL7 82LV0026PH Intel Celeron N4500
Intel Celeron N4500 (2C / 2T, 1.1 / 2.8GHz, 4MB L3),Integrated Intel UHD Graphic ,4GB Soldered DDR4-2933,128GB eMMC 5.1 storage ,Display 14 inch HD (1366x768) TN 220nits Anti-glare ,Battery Integrated 42Wh,WLAN + Bluetooth 11ac, 2x2 + BT5.0,Windows 11 
                        	Pay only P 1,977 a Month for 12 months or
P 3,744 a Month for 6 months on major credit cards.
						
"," ₱ 20,999

"
" HP 14S-DQ0509TU Intel Celeron N4120
Intel Celeron N4120 (1.1 GHz base frequency, up to 2.6 GHz burst frequency, 4 MB L2 cache, 4 cores), 4GB DDR4-2400 SDRAM, 256GB PCIe NVMe M.2 SSD, 14 inches HD display (1366 x 768), Intel UHD Graphics 600, Windows 11 
                        	Pay only P 2,070 a Month for 12 months or
P 3,921 a Month for 6 months on major credit cards.
						
"," ₱ 21,990

"
" Asus X415MA-BV373W Intel Celeron N4020
Intel Celeron N4020 Processor, 4GB DDR4, 256GB M.2 NVMe PCIe 3.0 SSD, 14 inches  HD Display (1366 x 768), Intel UHD Graphics, Windows 11 
                        	Pay only P 2,071 a Month for 12 months or
P 3,922 a Month for 6 months on major credit cards.
						
"," ₱ 21,995

"
" Acer Aspire 3 A314-35-C6Y8 Intel Celeron N4500
Intel Celeron dual-core processor N4500, 4GB of DDR4, 256GB NVMe SSD, 14 inches HD 1366 x 768, Intel UHD Graphics, Windows 10 Home 
                        	Pay only P 2,071 a Month for 12 months or
P 3,922 a Month for 6 months on major credit cards.
						
"," ₱ 21,995

"
" Acer Extensa EX215-31-P6XB Intel Pentium Silver N5030
Intel Pentium Silver N5030 Processor (4 MB L2 Cache, 1.10 GHz, up to 3.10 GHz, 4GB (1x 4GB onboard), 1TB HDD, 15.6 inches Full HD 1920 x 1080, Intel UHD Graphics, Windows 10 
                        	Pay only P 2,071 a Month for 12 months or
P 3,923 a Month for 6 months on major credit cards.
						
"," ₱ 21,999

"
" Lenovo IDEAPAD 3 14IGL05 81WH004BPH Intel Celeron N4120
Intel Celeron N4120 (4C / 4T, 1.1 / 2.6GHz, 4MB), 4GB Soldered DDR4-2400, 512GB SSD M.2 2280 PCIe 3.0x4 NVMe, 14 inches HD (1366x768) TN 220nits Anti-glare, Intel UHD Graphics 600, Windows 11 
                        	Pay only P 2,071 a Month for 12 months or
P 3,923 a Month for 6 months on major credit cards.
						
"," ₱ 21,999

"
" Acer Aspire 3 A315-35-C6GV Intel Celeron N4500
Intel Celeron dual-core processor N4500, 4GB of DDR4 system memory max 16GB, 256GB NVMe SSD (HDD Upgrade kit ready), 15.6 inches Full HD (1920 x 1080), Intel UHD graphics, Windows 11 
                        	Pay only P 2,118 a Month for 12 months or
P 4,012 a Month for 6 months on major credit cards.
						
"," ₱ 22,499

"
" Acer Aspire 3 A314-35-C733 Intel Celeron N4500
Intel Celeron dual-core processor N4500 (4 MB L2 cache, 1.10 GHz, up to 2.80 GHz with Intel Burst Technology, DDR4 or LPDDR4), 4GB of DDR4 upgradeable to 16GB, 256GB NVMe SSD14 inches HD 1366 x 768 resolution, Intel UHD Graphics, Windows 11 
                        	Pay only P 2,118 a Month for 12 months or
P 4,012 a Month for 6 months on major credit cards.
						
"," ₱ 22,499

"
" Asus E410KA- EK335W Intel Celeron N4500
Asus E410KA-EK335W Intel Celeron N4500, 4GB DDR4,256GB SSD,
Intel UHD Grraphics Windows 11 home 
                        	Pay only P 2,165 a Month for 12 months or
P 4,100 a Month for 6 months on major credit cards.
						
"," ₱ 22,995

"
" Asus X415MA-BV448T Intel Celeron N4020
Intel Celeron N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores), 4GB DDR4, 1TB HDD + 128GB NVMe SSD, 14 inches HD 1366x768 Display, Intel UHD Graphics, Windows 10 Pay only P 3,999 a Month for 6 months or
P 2,139 a Month for 12 months on major credit cards.
"," ₱ 23,999

"
