HouseDescription,Address,Cost
For Sale Residential Condominium Studio 1 Bathroom 32 sqm. ,"Commonwealth, Quezon City / QC, Metro Manila",₱ 5.86 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 38 sqm. ,"Commonwealth, Quezon City / QC, Metro Manila",₱ 5.87 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 39 sqm. ,"Tagaytay, Cavite",₱ 8.02 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 35 sqm. ,"Tagaytay, Cavite",₱ 8.80 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 24 sqm. ,"Ortigas, Mandaluyong, Metro Manila",₱ 5.00 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 30 sqm. ,"Manila, Metro Manila",₱ 2.50 million
For Sale Office Condominium Studio 1 Bathroom 88 sqm. ,"Ortigas, Pasig, Metro Manila",₱ 22.0 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 43 sqm. ,"Cebu City, Cebu",₱ 5.00 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 38 sqm. ,"Kapitolyo, Pasig, Metro Manila",₱ 6.70 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 19 sqm. ,"Dasmariñas, Cavite",₱ 3.40 million
For Sale Residential Condominium Studio 1 Bathroom 13 sqm. ,"Manila, Metro Manila",₱ 1.82 million
For Sale Residential Condominium Studio 1 Bathroom 45 sqm. ,"Tagaytay, Cavite",₱ 9.51 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 35 sqm. ,"Parañaque, Metro Manila",₱ 7.00 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 23 sqm. ,"Pasay, Metro Manila",₱ 6.00 million
For Sale Residential Condominium Studio 1 Bathroom 20 sqm. ,"Commonwealth, Quezon City / QC, Metro Manila",₱ 3.05 million
For Sale Residential Condominium Studio 1 Bathroom 21 sqm. ,"Cagayan de Oro, Misamis Oriental",₱ 4.20 million
For Sale Residential Condominium Studio 1 Bathroom 22 sqm. ,"San Juan, Metro Manila",₱ 4.10 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 16 sqm. ,"Muntinlupa, Metro Manila",₱ 4.26 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 18 sqm. ,"Dasmariñas, Cavite",₱ 3.10 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 49 sqm. ,"Parañaque, Metro Manila",₱ 3.93 million
For Sale Residential Condominium 3 Bedrooms 3 Bathrooms 153 sqm. ,"Parañaque, Metro Manila",₱ 9.80 million
For Sale Residential Condominium Studio 27 sqm. ,"San Fernando, Pampanga",₱ 5.10 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 63 sqm. ,"Mactan, Lapu-Lapu, Cebu",₱ 2.90 million
For Sale Residential Condominium Studio 1 Bathroom 24 sqm. ,"Santa Rosa, Laguna",₱ 2.49 million
For Sale Residential Condominium Studio 1 Bathroom 13 sqm. ,"Manila, Metro Manila",₱ 1.82 million
For Sale Residential Condominium Studio 1 Bathroom 45 sqm. ,"Tagaytay, Cavite",₱ 9.51 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 23 sqm. ,"Pasay, Metro Manila",₱ 6.00 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 35 sqm. ,"Parañaque, Metro Manila",₱ 7.00 million
For Sale Residential Condominium Studio 1 Bathroom 20 sqm. ,"Commonwealth, Quezon City / QC, Metro Manila",₱ 3.05 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 16 sqm. ,"Muntinlupa, Metro Manila",₱ 4.26 million
For Sale Residential Condominium Studio 1 Bathroom 21 sqm. ,"Cagayan de Oro, Misamis Oriental",₱ 4.20 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 18 sqm. ,"Dasmariñas, Cavite",₱ 3.10 million
For Sale Residential Condominium Studio 27 sqm. ,"San Fernando, Pampanga",₱ 5.10 million
For Sale Residential Condominium 3 Bedrooms 3 Bathrooms 153 sqm. ,"Parañaque, Metro Manila",₱ 9.80 million
