HouseDescription,Address,Cost
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 115 sqm. ,"Urdaneta, Pangasinan",₱ 5.58 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 150 sqm. ,"San Fernando, Pampanga",₱ 8.30 million
For Sale Single Detached House 3 Bedrooms 5 Bathrooms 238 sqm. ,"Cebu City, Cebu",₱ 14.0 million
For Sale Single Detached House 5 Bedrooms 8 Bathrooms 525 sqm. ,"Antipolo, Rizal",₱ 35.0 million
"For Sale Single Detached House 7 Bedrooms 6 Bathrooms 1,200 sqm. ","Tagaytay, Cavite",₱ 54.0 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 218 sqm. ,"Antipolo, Rizal",₱ 16.0 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 350 sqm. ,"Parañaque, Metro Manila",₱ 42.0 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 54 sqm. ,"Dasmariñas, Cavite",₱ 2.50 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 180 sqm. ,"Quezon City / QC, Metro Manila",₱ 9.50 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 255 sqm. ,"Quezon City / QC, Metro Manila",₱ 32.0 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 325 sqm. ,"Nuvali, Calamba, Laguna",₱ 25.0 million
For Sale Single Detached House 5 Bedrooms 2 Bathrooms 220 sqm. ,"Quezon City / QC, Metro Manila",₱ 5.50 million
For Sale Single Detached House 6 Bedrooms 6 Bathrooms 581 sqm. ,"Alabang, Muntinlupa, Metro Manila",₱ 85.0 million
For Sale Single Detached House 5 Bedrooms 4 Bathrooms 450 sqm. ,"Parañaque, Metro Manila",₱ 41.5 million
For Sale Single Detached House 6 Bedrooms 6 Bathrooms 800 sqm. ,"Parañaque, Metro Manila",₱ 150 million
"For Sale Single Detached House 8 Bedrooms 10 Bathrooms 1,500 sqm. ","Antipolo, Rizal",₱ 120 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 580 sqm. ,"Pasig, Metro Manila",₱ 38.0 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 280 sqm. ,"Cainta, Rizal",₱ 28.0 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 96 sqm. ,"Mandaluyong, Metro Manila",₱ 8.00 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 334 sqm. ,"Bacoor, Cavite",₱ 42.0 million
For Sale Single Detached House 7 Bedrooms 7 Bathrooms 900 sqm. ,"Quezon City / QC, Metro Manila",₱ 208 million
For Sale Single Detached House 2 Bedrooms 2 Bathrooms 150 sqm. ,"Antipolo, Rizal",₱ 9.00 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 150 sqm. ,"Silang, Cavite",₱ 3.00 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 296 sqm. ,"Parañaque, Metro Manila",₱ 24.0 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 325 sqm. ,"Nuvali, Calamba, Laguna",₱ 25.0 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 120 sqm. ,"Boracay, Malay, Aklan",₱ 12.0 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 220 sqm. ,"Bacoor, Cavite",₱ 19.5 million
For Sale Single Attached House 5 Bedrooms 5 Bathrooms 443 sqm. ,"Quezon City / QC, Metro Manila",₱ 41.7 million
For Sale Single Detached House 5 Bedrooms 4 Bathrooms 326 sqm. ,"Nasugbu, Batangas",₱ 17.0 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 204 sqm. ,"Santa Rosa, Laguna",₱ 16.0 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 210 sqm. ,"Dasmariñas, Cavite",₱ 9.25 million
For Sale Single Detached House 7 Bedrooms 7 Bathrooms 900 sqm. ,"Quezon City / QC, Metro Manila",₱ 208 million
For Sale Townhouse 4 Bedrooms 4 Bathrooms 255 sqm. ,"Quezon City / QC, Metro Manila",₱ 19.9 million
For Sale Single Detached House 6 Bedrooms 4 Bathrooms 137 sqm. ,"Boracay, Malay, Aklan",₱ 15.5 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 218 sqm. ,"Dasmariñas, Cavite",₱ 9.85 million
For Sale Single Detached House 4 Bedrooms 2 Bathrooms 650 sqm. ,"San Pedro, Laguna",₱ 30.0 million
For Sale Townhouse 4 Bedrooms 3 Bathrooms 120 sqm. ,"Cubao, Quezon City / QC, Metro Manila",₱ 12.8 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 350 sqm. ,"Quezon City / QC, Metro Manila",₱ 45.0 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 240 sqm. ,"Antipolo, Rizal",₱ 18.0 million
For Sale Duplex / Twin House 2 Bathrooms 56 sqm. ,"Urdaneta, Pangasinan",₱ 2.46 million
"For Sale Others 9 Bedrooms 13 Bathrooms 2,000 sqm. ","Baliuag, Bulacan",₱ 140 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 500 sqm. ,"Cainta, Rizal",₱ 38.0 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 360 sqm. ,"Pasig, Metro Manila",₱ 25.0 million
For Sale Single Detached House 6 Bedrooms 6 Bathrooms 550 sqm. ,"Pasig, Metro Manila",₱ 29.8 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 800 sqm. ,"Makati, Metro Manila",₱ 200 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 150 sqm. ,"Antipolo, Rizal",₱ 18.0 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 72 sqm. ,"Carmona, Cavite",₱ 5.30 million
For Sale Townhouse 5 Bedrooms 4 Bathrooms 330 sqm. ,"Manila, Metro Manila",₱ 48.0 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 160 sqm. ,"Cainta, Rizal",₱ 9.80 million
For Sale Single Detached House 6 Bedrooms 6 Bathrooms 527 sqm. ,"Las Piñas, Metro Manila",₱ 65.0 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 152 sqm. ,"Las Piñas, Metro Manila",₱ 8.00 million
For Sale Single Detached House 5 Bedrooms 4 Bathrooms 395 sqm. ,"Parañaque, Metro Manila",₱ 42.8 million
For Sale Single Detached House 6 Bedrooms 3 Bathrooms 450 sqm. ,"Cebu City, Cebu",₱ 35.0 million
For Sale Single Detached House 6 Bedrooms 6 Bathrooms 380 sqm. ,"Pasig, Metro Manila",₱ 21.8 million
For Sale Single Detached House 4 Bedrooms 5 Bathrooms 300 sqm. ,"Parañaque, Metro Manila",₱ 35.0 million
"For Sale Single Detached House 8 Bedrooms 5 Bathrooms 1,500 sqm. ","Taytay, Rizal",₱ 120 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 360 sqm. ,"Antipolo, Rizal",₱ 16.0 million
"For Sale Single Detached House 4 Bedrooms 4 Bathrooms 1,222 sqm. ","Tagaytay, Cavite",₱ 20.0 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 121 sqm. ,"Tagaytay, Cavite",₱ 6.90 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 104 sqm. ,"Biñan, Laguna",₱ 9.50 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 161 sqm. ,"Tandang Sora, Quezon City / QC, Metro Manila",₱ 13.0 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 82 sqm. ,"Cainta, Rizal",₱ 3.50 million
For Sale Single Detached House 6 Bedrooms 7 Bathrooms 241 sqm. ,"Las Piñas, Metro Manila",₱ 28.0 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"Mabalacat, Pampanga",₱ 1.45 million
For Sale Single Attached House 7 Bedrooms 5 Bathrooms 102 sqm. ,"Marilao, Bulacan",₱ 7.00 million
For Sale Townhouse 1 Bathroom 50 sqm. ,"Dauis, Bohol",₱ 1.60 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"Tarlac City, Tarlac",₱ 1.40 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 80 sqm. ,"Santa Maria, Bulacan",₱ 3.10 million
For Sale Single Detached House 4 Bedrooms 2 Bathrooms 90 sqm. ,"Baclayon, Bohol",₱ 3.87 million
For Sale Single Attached House 1 Bedroom 1 Bathroom 26 sqm. ,"Cabuyao, Laguna",₱ 1.80 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 104 sqm. ,"Novaliches, Quezon City / QC, Metro Manila",₱ 5.48 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 65 sqm. ,"Caloocan, Metro Manila",₱ 4.20 million
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 42 sqm. ,"Panabo, Davao del Norte",₱ 2.02 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 234 sqm. ,"Bacoor, Cavite",₱ 8.20 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"Baliuag, Bulacan",₱ 3.18 million
For Sale Single Detached House 5 Bedrooms 6 Bathrooms 350 sqm. ,"Cebu City, Cebu",₱ 25.0 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 71 sqm. ,"Biñan, Laguna",₱ 3.80 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 55 sqm. ,"Tanza, Cavite",₱ 3.08 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 40 sqm. ,"Tanza, Cavite",₱ 1.84 million
For Sale Rowhouse 3 Bedrooms 4 Bathrooms 2 sqm. ,"Basco, Batanes",₱ 10.00 trillion
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"Magalang, Pampanga",₱ 1.75 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"Dumaguete, Negros Oriental",₱ 2.70 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"Puerto Princesa, Palawan",₱ 2.80 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 60 sqm. ,"Malolos, Bulacan",₱ 3.17 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Santa Maria, Bulacan",₱ 2.29 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 94 sqm. ,"Imus, Cavite",₱ 4.98 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 63 sqm. ,"Imus, Cavite",₱ 4.58 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"Santo Tomas, Batangas",₱ 2.54 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 199 sqm. ,"Novaliches, Quezon City / QC, Metro Manila",₱ 11.0 million
For Sale Rowhouse 1 Bathroom 22 sqm. ,"Bacong, Negros Oriental","₱ 600,000"
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 28 sqm. ,"Concepcion, Tarlac",₱ 1.80 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 73 sqm. ,"Lapu-Lapu (Opon), Cebu",₱ 2.28 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 40 sqm. ,"Santo Tomas, Batangas",₱ 3.46 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Oton, Iloilo",₱ 3.17 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 53 sqm. ,"Silang, Cavite",₱ 6.04 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 48 sqm. ,"Butuan, Agusan del Norte",₱ 2.24 million
For Sale Duplex / Twin House 3 Bedrooms 2 Bathrooms 60 sqm. ,"General Trias, Cavite",₱ 2.60 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 31 sqm. ,"Capas, Tarlac","₱ 640,000"
For Sale Single Attached House 2 Bedrooms 1 Bathroom 50 sqm. ,"Mabalacat, Pampanga",₱ 2.22 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 211 sqm. ,"Bacoor, Cavite",₱ 26.0 million
For Sale Duplex / Twin House 4 Bedrooms 4 Bathrooms 158 sqm. ,"Valenzuela, Metro Manila",₱ 7.10 million
For Sale Duplex / Twin House 4 Bedrooms 2 Bathrooms 110 sqm. ,"Talisay, Cebu",₱ 6.41 million
For Sale Townhouse 3 Bedrooms 3 Bathrooms 120 sqm. ,"Quezon City / QC, Metro Manila",₱ 10.3 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 33 sqm. ,"Tarlac City, Tarlac","₱ 663,930"
For Sale Townhouse 4 Bedrooms 4 Bathrooms 143 sqm. ,"San Juan, Metro Manila",₱ 13.2 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 46 sqm. ,"Bacolod, Negros Occidental",₱ 3.51 million
For Sale Single Detached House 5 Bedrooms 5 Bathrooms 258 sqm. ,"Imus, Cavite",₱ 12.6 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Lipa, Batangas",₱ 2.22 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 56 sqm. ,"Lapu-Lapu (Opon), Cebu",₱ 1.90 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 86 sqm. ,"Angeles, Pampanga",₱ 3.43 million
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 43 sqm. ,"Teresa, Rizal",₱ 4.29 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 50 sqm. ,"Santo Tomas, Batangas",₱ 1.65 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"Dumaguete, Negros Oriental",₱ 2.70 million
For Sale Townhouse 1 Bathroom 42 sqm. ,"Calamba, Laguna",₱ 1.58 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 100 sqm. ,"Cebu City, Cebu",₱ 6.50 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 66 sqm. ,"Bacolod, Negros Occidental",₱ 5.96 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 75 sqm. ,"Imus, Cavite",₱ 4.58 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 73 sqm. ,"Trece Martires, Cavite",₱ 2.03 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 56 sqm. ,"Santa Rosa, Laguna",₱ 3.45 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 50 sqm. ,"Cabanatuan, Nueva Ecija",₱ 1.89 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 60 sqm. ,"General Trias, Cavite",₱ 2.81 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 66 sqm. ,"Bacolod, Negros Occidental",₱ 5.96 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 50 sqm. ,"Cabanatuan, Nueva Ecija",₱ 2.76 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 60 sqm. ,"Santa Maria, Bulacan",₱ 4.53 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Santo Tomas, Batangas",₱ 3.24 million
For Sale Single Attached House 1 Bedroom 1 Bathroom 26 sqm. ,"Cabuyao, Laguna",₱ 1.61 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 50 sqm. ,"Cabanatuan, Nueva Ecija",₱ 1.89 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 56 sqm. ,"Santa Rosa, Laguna",₱ 3.45 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 50 sqm. ,"Cabanatuan, Nueva Ecija",₱ 1.89 million
For Sale Single Attached House 3 Bedrooms 1 Bathroom 140 sqm. ,"Caloocan, Metro Manila",₱ 7.50 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 85 sqm. ,"General Santos (Dadiangas), South Cotabato",₱ 5.78 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"Oton, Iloilo",₱ 2.61 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"Bacolod, Negros Occidental",₱ 2.46 million
For Sale Others 9 Bedrooms 9 Bathrooms 460 sqm. ,"Calamba, Laguna",₱ 42.0 million
For Sale Single Detached House 4 Bedrooms 2 Bathrooms 85 sqm. ,"Angeles, Pampanga",₱ 5.50 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 190 sqm. ,"Las Piñas, Metro Manila",₱ 11.0 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 150 sqm. ,"Floridablanca, Pampanga",₱ 5.29 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Bacolod, Negros Occidental",₱ 2.84 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 75 sqm. ,"Batangas City, Batangas",₱ 4.93 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 203 sqm. ,"Imus, Cavite",₱ 9.85 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 46 sqm. ,"Alaminos, Laguna",₱ 1.00 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 66 sqm. ,"Silang, Cavite",₱ 6.72 million
