Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,HoursWorkedPerWeek,EmploymentSector,SalaryUSD
United States,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,200000
United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,35,Private business,61515
Germany,Microsoft SQL Server,5,Full time employee,Other,45,Private business,95000
United Kingdom,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,56000
France,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,40,Private business,35000
United Kingdom,Microsoft SQL Server,15,Independent or freelancer or company owner,DBA,35,Private business,215000
Germany,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,75000
Netherlands,Microsoft SQL Server,4,Full time employee,DBA,36,Private business,47000
United Kingdom,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,41000
United Kingdom,Microsoft SQL Server,8,Full time employee,Engineer,45,Private business,51652
Netherlands,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,36,Private business,37500
Belgium,Microsoft SQL Server,22,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,60000
United States,Microsoft SQL Server,16,Full time employee of a consulting/contracting company,DBA,55,Private business,137500
United Kingdom,Microsoft SQL Server,7,Full time employee,Developer: T-SQL,37,Private business,63000
United States,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,85000
United States,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,96000
United Kingdom,Microsoft SQL Server,22,Full time employee of a consulting/contracting company,DBA,37,Private business,90000
United States,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",60,Private business,66000
United States,Microsoft SQL Server,13,Full time employee,DBA,60,Private business,101750
Canada,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,83000
Canada,Microsoft SQL Server,10,Full time employee,DBA,42,Private business,45000
United States,Azure SQL DB,5,Full time employee,DBA,60,Private business,78000
United States,Microsoft SQL Server,7,Full time employee,DBA,45,Private business,123000
United States,Microsoft SQL Server,16,Full time employee,Architect,40,Private business,100800
United States,Microsoft SQL Server,16,Full time employee,Developer: T-SQL,40,Private business,148000
United States,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,113000
Poland,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,40000
United States,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,80000
United States,Microsoft SQL Server,18,Full time employee,DBA,40,Federal government,133500
United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,102000
United Kingdom,Microsoft SQL Server,9,Full time employee,Developer: T-SQL,40,Private business,74000
United States,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,45,Private business,52000
Ukraine,Microsoft SQL Server,5,Full time employee,DBA,40,Local government,95000
United States,Microsoft SQL Server,7,Full time employee,Engineer,40,Private business,107690
Australia,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,45,Private business,107000
Germany,Microsoft SQL Server,12,Full time employee,Architect,40,Private business,84000
United States,Microsoft SQL Server,13,Full time employee,Architect,40,Private business,140000
India,Microsoft SQL Server,14,Full time employee,DBA,40,Private business,29511
United States,Microsoft SQL Server,18,Independent or freelancer or company owner,DBA,40,Private business,165000
United States,Microsoft SQL Server,10,Full time employee,DBA,65,Private business,200000
United States,Microsoft SQL Server,9,Full time employee of a consulting/contracting company,DBA,40,Federal government,133000
Canada,Microsoft SQL Server,10,Full time employee,DBA,37,Private business,67000
United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,122500
United States,Microsoft SQL Server,7,Full time employee,DBA,45,Federal government,120000
United States,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,48,Private business,145000
United States,Microsoft SQL Server,20,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Private business,95000
United States,Microsoft SQL Server,2,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,77600
Canada,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,46000
United States,Microsoft SQL Server,16,Full time employee of a consulting/contracting company,Architect,40,Private business,140000
India,Microsoft SQL Server,9,Full time employee,Architect,40,Private business,23000
United States,Microsoft SQL Server,10,Full time employee,Architect,45,Private business,138000
United States,Microsoft SQL Server,15,Full time employee,Architect,50,Private business,110000
Belgium,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,40000
Germany,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Private business,72800
United States,Microsoft SQL Server,5,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,99000
Portugal,Microsoft SQL Server,10,Full time employee,Engineer,50,Private business,50000
South Africa,Microsoft SQL Server,16,Full time employee,Developer: T-SQL,40,Private business,55000
United States,Microsoft SQL Server,15,Full time employee,Engineer,40,Private business,90000
United States,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",35,Private business,175000
United States,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,113400
United States,Microsoft SQL Server,4,Full time employee,Other,60,Private business,120000
United States,Microsoft SQL Server,9,Full time employee,DBA,45,Private business,97500
Greece,Microsoft SQL Server,6,Full time employee,"Developer: App code (C#, JS, etc)",50,Private business,17621
Portugal,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,26500
United States,Microsoft SQL Server,16,Full time employee,DBA,45,Private business,105000
United States,Microsoft SQL Server,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",50,Private business,85000
United States,Microsoft SQL Server,13,Full time employee,DBA,40,Private business,104000
United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,39,Federal government,41900
United States,Microsoft SQL Server,6,Full time employee,DBA,45,Private business,99000
United States,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,98000
United States,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,51000
United States,Microsoft SQL Server,20,Full time employee,Other,50,Private business,98000
United States,Microsoft SQL Server,19,Full time employee,DBA,50,Private business,98000
United States,Microsoft SQL Server,17,Full time employee,DBA,50,Private business,116000
United States,Microsoft SQL Server,4,Full time employee,DBA,46,Private business,60000
Israel,MongoDB,4,Full time employee,Architect,55,Private business,150000
United States,Microsoft SQL Server,5,Full time employee,Analyst,40,Private business,70760
Germany,Microsoft SQL Server,10,Full time employee,Other,50,Private business,65000
United Kingdom,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,67770
Canada,Microsoft SQL Server,9,Full time employee,DBA,40,Private business,81000
United States,Microsoft SQL Server,4,Full time employee,"Developer: App code (C#, JS, etc)",45,Private business,82000
Sweden,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,35,Private business,60000
United States,Microsoft SQL Server,1,Full time employee,DBA,40,Private business,55000
United Kingdom,Microsoft SQL Server,12,Full time employee,DBA,38,Private business,70000
United States,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,40,Private business,86006
United Kingdom,Microsoft SQL Server,9,Full time employee,DBA,42,Private business,70850
United Kingdom,Microsoft SQL Server,12,Independent or freelancer or company owner,DBA,37,Private business,98517
United Kingdom,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,23000
United States,Microsoft SQL Server,10,Full time employee,DBA,45,State/province government,107000
United States,PostgreSQL,4,Full time employee of a consulting/contracting company,Engineer,45,Private business,94000
United States,Microsoft SQL Server,5,Full time employee,DBA,42,Private business,78000
United States,Microsoft SQL Server,17,Full time employee,DBA,60,Private business,200000
United States,Microsoft SQL Server,21,Full time employee,DBA,45,Private business,120000
United States,Microsoft SQL Server,7,Full time employee,DBA,45,Private business,72000
United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,125000
United States,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",45,Private business,67000
United Kingdom,Microsoft SQL Server,14,Full time employee of a consulting/contracting company,DBA,40,Private business,129000
United States,Microsoft SQL Server,16,Full time employee,DBA,50,Private business,117000
Netherlands,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,66000
United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,85155
United States,Microsoft SQL Server,15,Full time employee,Other,40,Private business,95000
United States,Microsoft SQL Server,7,Full time employee,Engineer,40,Private business,141000
United Kingdom,Microsoft SQL Server,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Private business,58000
United States,Microsoft SQL Server,8,Full time employee,DBA,45,Local government,95000
United States,Microsoft SQL Server,11,Full time employee,Architect,45,Private business,121000
India,Microsoft SQL Server,6,Full time employee,DBA,100,Private business,10000
India,Microsoft SQL Server,6,Full time employee,DBA,30,Private business,15000
United States,Microsoft SQL Server,15,Full time employee,DBA,41,Private business,130000
United States,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,115000
United States,Microsoft SQL Server,18,Independent or freelancer or company owner,Developer: T-SQL,40,Private business,300000
United States,Microsoft SQL Server,2,Full time employee,Analyst,40,Private business,64000
