HouseDescription,Address,Cost
"
                                                Asenso Village, Filinvest Land Inc
                    ","
                                
                                                                    Bubuyan, Calamba
                                                            ","
                                        ₱ 4,100,000 
                                    "
"
                                                4-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...
                    ","
                                
                                                                    Valle Cruz, Cabanatuan
                                                            ","
                                        ₱ 5,700,000 
                                    "
"
                                                2-Storey Townhouse for Sale in Filinvest Northview, QC
                    ","
                                
                                                                    Batasan Hills, Quezon City
                                                            ","
                                        ₱ 4,800,000 
                                    "
"
                                                Affordable House and lot completely finished Quezon city for sale
                    ","
                                
                                                                    San Bartolome, Quezon City
                                                            ","
                                        ₱ 3,050,000 
                                    "
"
                                                Luxury 5 Bedrooms House and Lot at San Juan City
                    ","
                                
                                                                    Pedro Cruz, San Juan
                                                            ","
                                        ₱ 72,000,000 
                                    "
"
                                                Overlooking 3BR Value Built H & L Away of Covid 19 Area, near SM Mall, Angono
                    ","
                                
                                                                    Bilibiran, Binangonan
                                                            ","
                                        ₱ 3,300,000 
                                    "
"
                                                La Esperanza 3 Bedroom Townhouse, Binangonan, Rizal
                    ","
                                
                                                                    Tayuman, Binangonan
                                                            ","
                                        ₱ 3,216,667 
                                    "
"
                                                Village East 3 Bedroom Townhouse, Cainta Rizal
                    ","
                                
                                                                    Santo Domingo, Cainta
                                                            ","
                                        ₱ 5,502,000 
                                    "
"
                                                Southpoint Extension 4 Bedroom Townhouse San Isidro, Parañaque City
                    ","
                                
                                                                    San Isidro, Parañaque
                                                            ","
                                        ₱ 5,008,000 
                                    "
"
                                                Elegant House And Lot For Sale In Bf Homes Paranaque
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            ","
                                        ₱ 24,800,000 
                                    "
"
                                                4-BR Fully Finished House and Lot For Sale along Marcos Highway Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            ","
                                        ₱ 12,900,000 
                                    "
"
                                                5 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Ella)
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            ","
                                        ₱ 6,975,000 
                                    "
"
                                                4 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Dani)
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            ","
                                        ₱ 5,969,000 
                                    "
"
                                                3 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Cara)
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            ","
                                        ₱ 5,078,000 
                                    "
"
                                                3 Bedroom Townhouse Unit at Bloomfield Heights in Antipolo, Rizal (Inner)
                    ","
                                
                                                                    San Luis, Antipolo
                                                            ","
                                        ₱ 3,300,000 
                                    "
"
                                                71 sqm Townhouse for Sale at Tandang Sora, Q.C. -  Rey Samaniego
                    ","
                                
                                                                    Talipapa, Quezon City
                                                            ","
                                        ₱ 8,500,000 
                                    "
"
                                                3 Bedrooms House and Lot at The BelleCourt in Santa Rosa, Laguna (Regular Unit)
                    ","
                                
                                                                    Balibago, Santa Rosa
                                                            ","
                                        ₱ 3,230,000 
                                    "
"
                                                Townhouse End Unit for Sale in Ajoya Capas, Tarlac - with Special Offer
                    ","
                                
                                                                    Talaga, Capas
                                                            ","
                                        ₱ 2,500,000 
                                    "
"
                                                2 Bedroom House and Lot at Idesia in Dasmariñas, Cavite (Talia)
                    ","
                                
                                                                    San Agustin I, Dasmariñas
                                                            ","
                                        ₱ 5,069,616 
                                    "
"
                                                2 Bedroom House and Lot Unit for sale at Camella Calamba (Bella Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            ","
                                        ₱ 4,435,000 
                                    "
"
                                                PENTHOUSE PRIME : 3 Story House, 3 Bedroom Provision, 2 Carport, 2 Bathroom
                    ","
                                
                                                                    Santo Niño, Biñan
                                                            ","
                                        ₱ 48,895 
                                    "
"
                                                House and Lot at Manors at Golden Horizon in Trece Martires, Cavite (Cecilia)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            ","
                                        ₱ 3,562,210 
                                    "
"
                                                House and Lot at Manors at Golden Horizon in Trece Martires, Cavite (Louisa)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            ","
                                        ₱ 3,838,919 
                                    "
"
                                                3 Bedroom House and Lot Unit at Celestis 1 in Antipolo, Rizal (Corner)
                    ","
                                
                                                                    San Isidro, Antipolo
                                                            ","
                                        ₱ 5,760,982 
                                    "
"
                                                3 Bedroom House and Lot Unit at Celestis 1 in Antipolo, Rizal (End)
                    ","
                                
                                                                    San Isidro, Antipolo
                                                            ","
                                        ₱ 5,760,882 
                                    "
"
                                                2 Bedroom House and Lot (End Corner) at Phirst Park Homes Calamba 
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            ","
                                        ₱ 3,510,142 
                                    "
"
                                                3 Bedroom Townhouse (Inner) for sale at Amaia Series Nuvali in Laguna
                    ","
                                
                                                                    Santa Rosa
                                                            ","
                                        ₱ 5,400,000 
                                    "
"
                                                2 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Bella)
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            ","
                                        ₱ 5,907,000 
                                    "
"
                                                House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal
                    ","
                                
                                                                    Muntingdilaw, Antipolo
                                                            ","
                                        ₱ 6,680,000 
                                    "
"
                                                Townhouse for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal
                    ","
                                
                                                                    Muntingdilaw, Antipolo
                                                            ","
                                        ₱ 4,000,000 
                                    "
"
                                                Duplex House and Lot Side by Side Parkside for Sale in Ajoya Capas, Tarlac - with Spe...
                    ","
                                
                                                                    Talaga, Capas
                                                            ","
                                        ₱ 3,600,000 
                                    "
"
                                                4BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...
                    ","
                                
                                                                    Bugtong Na Pulo, Lipa
                                                            ","
                                        ₱ 6,500,000 
                                    "
"
                                                5BR Single Attached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...
                    ","
                                
                                                                    Bugtong Na Pulo, Lipa
                                                            ","
                                        ₱ 7,900,000 
                                    "
"
                                                3 Bedroom Single Attached House at Elisa Homes in Bacoor, Cavite (Pearl Model)
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            ","
                                        ₱ 6,631,632 
                                    "
"
                                                3 Bedroom Single Detached House at Elisa Homes in Bacoor,Cavite (Sapphire Model)
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            ","
                                        ₱ 6,665,440 
                                    "
"
                                                2 Bedrooms House and Lot at Camella Lessandra Calamba (Ezabelle Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            ","
                                        ₱ 2,995,000 
                                    "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -MARGARET Mode...
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            ","
                                        ₱ 5,690,000 
                                    "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -GABRIELLE Mo...
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            ","
                                        ₱ 6,650,000 
                                    "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -THEA Mod...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            ","
                                        ₱ 2,395,000 
                                    "
"
                                                4-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ADELLE M...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            ","
                                        ₱ 3,336,800 
                                    "
"
                                                3-Bedroom Townhouse for Sale in The Villages at Lipa, Sierra Village, Batangas - with...
                    ","
                                
                                                                    Bugtong Na Pulo, Lipa
                                                            ","
                                        ₱ 4,700,000 
                                    "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -BRIA...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            ","
                                        ₱ 6,756,360 
                                    "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ALICE Mo...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            ","
                                        ₱ 1,880,600 
                                    "
"
                                                Camella Easy Homes 4BR Greta Model house, Nueva Ecija
                    ","
                                
                                                                    Caanawan, San Jose
                                                            ","
                                        ₱ 6,875,000 
                                    "
"
                                                Grand Monaco Hills 4 Bedroom Single Attached/Detached House and Lot,Taytay Rizal
                    ","
                                
                                                                    Dolores, Taytay
                                                            ","
                                        ₱ 4,855,814 
                                    "
"
                                                Single Attached House and Lot Kayla Prime model near Quezon city for sale
                    ","
                                
                                                                    Muzon, San Jose del Monte
                                                            ","
                                        ₱ 3,208,845 
                                    "
"
                                                3storey modern house and lot in bf homes las pinas
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            ","
                                        ₱ 26,000,000 
                                    "
"
                                                Elegantly Finished Duplex House And Lot In Pilar Village Las Pinas-JI
                    ","
                                
                                                                    Pilar, Las Piñas
                                                            ","
                                        ₱ 7,500,000 
                                    "
"
                                                3 Bedroom Townhouse (Inner) for sale at Amaia Series Nuvali in Laguna
                    ","
                                
                                                                    Santa Rosa
                                                            ","
                                        ₱ 5,400,000 
                                    "
"
                                                4 Bedroom House and Lot at Governor’s Hills in General Trias, Cavite (Elyza)
                    ","
                                
                                                                    Biclatan, General Trias
                                                            ","
                                        ₱ 9,063,344 
                                    "
"
                                                3 Bedroom House and Lot at Governor’s Hills in General Trias, Cavite (Jasmine)
                    ","
                                
                                                                    Biclatan, General Trias
                                                            ","
                                        ₱ 8,078,516 
                                    "
"
                                                5 Bedroom House and Lot Unit in Bellefort Estates (Vivienne Model)
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            ","
                                        ₱ 8,838,900 
                                    "
"
                                                3 Bedroom House and Lot in Bellefort Estates (Charlotte Model) 
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            ","
                                        ₱ 6,355,169 
                                    "
"
                                                4 bedroom house and lot for sale in Nuvali, Santa Rosa
                    ","
                                
                                                                    Canlubang, Calamba
                                                            ","
                                        ₱ 16,504,000 
                                    "
"
                                                RFO  House and Lot for sale in Pamplona Park Las Pinas
                    ","
                                
                                                                    Pamplona Dos, Las Piñas
                                                            ","
                                        ₱ 5,400,000 
                                    "
"
                                                2 Bedrooms House and Lot at Camella Sierra Metro East (Bella Model)
                    ","
                                
                                                                    Dulumbayan, Teresa
                                                            ","
                                        ₱ 5,336,000 
                                    "
"
                                                2-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...
                    ","
                                
                                                                    Valle Cruz, Cabanatuan
                                                            ","
                                        ₱ 3,800,000 
                                    "
"
                                                Townhouse Mid Unit for Sale in Ajoya Capas, Tarlac - with Special Offer
                    ","
                                
                                                                    Talaga, Capas
                                                            ","
                                        ₱ 2,100,000 
                                    "
"
                                                4 Bedroom House and Lot at Villas Phase 3 at Golden Horizon (Daniella)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            ","
                                        ₱ 1,742,077 
                                    "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -BRIANA Model
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            ","
                                        ₱ 6,756,360 
                                    "
