ProductDescription,ProductSpecs,Prices
"
                                        Samsung Galaxy Z Fold4 (12GB + 512GB) Phantom Black                                    ","
7.6-inch QXGA+, SD 8+ Gen 1, 512GB, 4400mAh 
","₱105,990"
"
                                        Samsung Galaxy Z Fold4 (12GB + 512GB) Gray Green                                    ","
7.6-inch QXGA+, SD 8+ Gen 1, 512GB, 4400mAh 
","₱105,990"
"
                                        Samsung Galaxy Z Fold4 (12GB + 256GB) Phantom Black                                    ","
7.6-inch QXGA+, SD 8+ Gen 1, 256GB, 4400mAh 
","₱98,990"
"
                                        Samsung Galaxy Z Fold4 (12GB + 256GB) Gray Green                                    ","
7.6-inch QXGA+, SD 8+ Gen 1, 256GB, 4400mAh 
","₱98,990"
"
                                        OPPO A57 Glowing Black                                    ","
6.56-inch HD+, Helio G35, 128GB, 5000mAh 
","₱11,199"
"
                                        Huawei nova 9 SE Crystal Blue                                    ","
6.78-inch Full HD+, SD 680, 128GB, 4000mAh 
","₱13,999"
"
                                        Huawei nova 9 SE Midnight Black                                    ","
6.78-inch Full HD+, SD 680, 128GB, 4000mAh 
","₱13,999"
"
                                        Vivo Y02s Vibrant Blue                                    ","
6.51-inch HD+, Helio P35, 32GB, 5000mAh 
","₱6,699"
"
                                        Vivo Y02s Flourite Black                                    ","
6.51-inch HD+, Helio P35, 32GB, 5000mAh 
","₱6,699"
"
                                        Huawei Nova Y90 Emerald Green                                    ","
6.7-inch FHD, SD 680, 128GB, 5000mAh 
","₱11,999"
"
                                        Huawei Nova Y90 Crystal Blue                                    ","
6.7-inch FHD, SD 680, 128GB, 5000mAh 
","₱11,999"
"
                                        Huawei Nova Y90 Midnight Black                                    ","
6.7-inch FHD, SD 680, 128GB, 5000mAh 
","₱11,999"
"
                                        Apple iPhone 11                                    ","
64GB White 
","₱27,490"
"
                                        Apple iPhone 11                                    ","
64GB Black 
","₱27,490"
"
                                        Wiko T50 Green                                    ","
6.6-inch Full HD+, Helio G85, 128GB, 4000mAh 
","₱11,990"
"
                                        Wiko T50 Black                                    ","
6.6-inch Full HD+, Helio G85, 128GB, 4000mAh 
","₱11,990"
